Humana Quarterly Net Income (Millions of US $),Humana Quarterly Net Income (Millions of US $).1
2024-06-30,$679
2024-03-31,$741
2023-12-31,$-541
2023-09-30,$832
2023-06-30,$959
2023-03-31,"$1,239"
2022-12-31,$-15
2022-09-30,"$1,195"
2022-06-30,$696
2022-03-31,$930
2021-12-31,$-14
2021-09-30,"$1,531"
2021-06-30,$588
2021-03-31,$828
2020-12-31,$-274
2020-09-30,"$1,340"
2020-06-30,"$1,828"
2020-03-31,$473
2019-12-31,$512
2019-09-30,$689
2019-06-30,$940
2019-03-31,$566
2018-12-31,$355
2018-09-30,$644
2018-06-30,$193
2018-03-31,$491
2017-12-31,$184
2017-09-30,$499
2017-06-30,$650
2017-03-31,"$1,115"
2016-12-31,$-401
2016-09-30,$450
2016-06-30,$311
2016-03-31,$254
2015-12-31,$101
2015-09-30,$314
2015-06-30,$431
2015-03-31,$430
2014-12-31,$145
2014-09-30,$290
2014-06-30,$344
2014-03-31,$368
2013-12-31,$-30
2013-09-30,$368
2013-06-30,$420
2013-03-31,$473
2012-12-31,$192
2012-09-30,$426
2012-06-30,$356
2012-03-31,$248
2011-12-31,$199
2011-09-30,$445
2011-06-30,$460
2011-03-31,$315
2010-12-31,$107
2010-09-30,$393
2010-06-30,$340
2010-03-31,$259
2009-12-31,$251
2009-09-30,$302
2009-06-30,$282
2009-03-31,$206
