CME Group Quarterly Net Income (Millions of US $),CME Group Quarterly Net Income (Millions of US $).1
2024-06-30,$872
2024-03-31,$844
2023-12-31,$804
2023-09-30,$741
2023-06-30,$768
2023-03-31,$873
2022-12-31,$630
2022-09-30,$671
2022-06-30,$654
2022-03-31,$702
2021-12-31,$606
2021-09-30,$927
2021-06-30,$510
2021-03-31,$574
2020-12-31,$424
2020-09-30,$412
2020-06-30,$503
2020-03-31,$766
2019-12-31,$470
2019-09-30,$636
2019-06-30,$514
2019-03-31,$497
2018-12-31,$386
2018-09-30,$412
2018-06-30,$566
2018-03-31,$599
2017-12-31,"$2,939"
2017-09-30,$309
2017-06-30,$416
2017-03-31,$400
2016-12-31,$373
2016-09-30,$473
2016-06-30,$320
2016-03-31,$368
2015-12-31,$292
2015-09-30,$360
2015-06-30,$265
2015-03-31,$330
2014-12-31,$307
2014-09-30,$290
2014-06-30,$264
2014-03-31,$267
2013-12-31,$193
2013-09-30,$237
2013-06-30,$311
2013-03-31,$236
2012-12-31,$167
2012-09-30,$218
2012-06-30,$245
2012-03-31,$267
2011-12-31,$746
2011-09-30,$316
2011-06-30,$294
2011-03-31,$457
2010-12-31,$196
2010-09-30,$244
2010-06-30,$271
2010-03-31,$240
2009-12-31,$203
2009-09-30,$202
2009-06-30,$222
2009-03-31,$199
