Truist Financial Quarterly Net Income (Millions of US $),Truist Financial Quarterly Net Income (Millions of US $).1
2024-06-30,$826
2024-03-31,"$1,091"
2023-12-31,"$-5,167"
2023-09-30,"$1,071"
2023-06-30,"$1,234"
2023-03-31,"$1,410"
2022-12-31,"$1,610"
2022-09-30,"$1,536"
2022-06-30,"$1,454"
2022-03-31,"$1,327"
2021-12-31,"$1,524"
2021-09-30,"$1,616"
2021-06-30,"$1,559"
2021-03-31,"$1,334"
2020-12-31,"$1,228"
2020-09-30,"$1,068"
2020-06-30,$902
2020-03-31,$986
2019-12-31,$702
2019-09-30,$735
2019-06-30,$842
2019-03-31,$749
2018-12-31,$754
2018-09-30,$789
2018-06-30,$775
2018-03-31,$745
2017-12-31,$614
2017-09-30,$597
2017-06-30,$631
2017-03-31,$378
2016-12-31,$592
2016-09-30,$599
2016-06-30,$541
2016-03-31,$527
2015-12-31,$502
2015-09-30,$492
2015-06-30,$454
2015-03-31,$488
2014-12-31,$551
2014-09-30,$512
2014-06-30,$424
2014-03-31,$496
2013-12-31,$538
2013-09-30,$268
2013-06-30,$547
2013-03-31,$210
2012-12-31,$506
2012-09-30,$469
2012-06-30,$510
2012-03-31,$431
2011-12-31,$391
2011-09-30,$366
2011-06-30,$307
2011-03-31,$225
2010-12-31,$208
2010-09-30,$210
2010-06-30,$210
2010-03-31,$188
2009-12-31,$185
2009-09-30,$152
2009-06-30,$121
2009-03-31,$271
