DexCom PE Ratio Historical Data,DexCom PE Ratio Historical Data,DexCom PE Ratio Historical Data,DexCom PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,127.37,,82.17
2024-03-31,138.7,$1.55,89.48
2023-12-31,124.09,$1.31,94.73
2023-09-30,93.3,$0.91,102.53
2023-06-30,128.51,$0.86,149.43
2023-03-31,116.18,$0.70,165.97
2022-12-31,113.24,$0.81,139.37
2022-09-30,80.54,$0.54,148.46
2022-06-30,74.53,$0.48,155.27
2022-03-31,127.9,$0.52,247.15
2021-12-31,134.24,$0.39,346.42
2021-09-30,136.72,$1.31,104.56
2021-06-30,106.75,$1.31,81.33
2021-03-31,89.85,$1.28,70.47
2020-12-31,92.43,$1.23,75.45
2020-09-30,103.06,$0.61,170.34
2020-06-30,101.35,$0.55,185.11
2020-03-31,67.32,$0.40,169.35
2019-12-31,54.69,$0.27,202.54
2019-09-30,37.31,$-0.49,0.0
2019-06-30,37.46,$-0.48,0.0
2019-03-31,29.78,$-0.37,0.0
2018-12-31,29.95,$-0.36,0.0
2018-09-30,35.76,$0.12,304.34
2018-06-30,23.75,$-0.02,0.0
2018-03-31,18.54,$-0.10,0.0
2017-12-31,14.35,$-0.15,0.0
2017-09-30,12.23,$-0.14,0.0
2017-06-30,18.29,$-0.19,0.0
2017-03-31,21.18,$-0.26,0.0
2016-12-31,14.93,$-0.20,0.0
2016-09-30,21.92,$-0.17,0.0
2016-06-30,19.83,$-0.25,0.0
2016-03-31,16.98,$-0.20,0.0
2015-12-31,20.48,$-0.18,0.0
2015-09-30,21.47,$-0.18,0.0
2015-06-30,20.0,$-0.07,0.0
2015-03-31,15.59,$-0.08,0.0
2014-12-31,13.76,$-0.08,0.0
2014-09-30,10.0,$-0.10,0.0
2014-06-30,9.92,$-0.10,0.0
2014-03-31,10.34,$-0.11,0.0
2013-12-31,8.85,$-0.11,0.0
2013-09-30,7.06,$-0.13,0.0
2013-06-30,5.61,$-0.17,0.0
2013-03-31,4.18,$-0.19,0.0
2012-12-31,3.4,$-0.20,0.0
2012-09-30,3.76,$-0.21,0.0
2012-06-30,3.24,$-0.20,0.0
2012-03-31,2.61,$-0.18,0.0
2011-12-31,2.33,$-0.17,0.0
2011-09-30,3.0,$-0.17,0.0
2011-06-30,3.62,$-0.17,0.0
2011-03-31,3.88,$-0.20,0.0
2010-12-31,3.41,$-0.25,0.0
2010-09-30,3.31,$-0.27,0.0
2010-06-30,2.89,$-0.29,0.0
2010-03-31,2.44,$-0.32,0.0
2009-12-31,2.02,$-0.30,0.0
