Marvell Technology PE Ratio Historical Data,Marvell Technology PE Ratio Historical Data,Marvell Technology PE Ratio Historical Data,Marvell Technology PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,76.68,,0.0
2024-01-31,67.7,$-1.08,0.0
2023-10-31,47.22,$-0.65,0.0
2023-07-31,65.13,$-0.44,0.0
2023-04-30,39.48,$-0.19,0.0
2023-01-31,43.15,$-0.19,0.0
2022-10-31,39.68,$-0.16,0.0
2022-07-31,55.68,$-0.26,0.0
2022-04-30,58.01,$-0.61,0.0
2022-01-31,71.24,$-0.54,0.0
2021-10-31,68.3,$-0.53,0.0
2021-07-31,60.28,$-0.48,0.0
2021-04-30,44.99,$-0.38,0.0
2021-01-31,51.15,$-0.42,0.0
2020-10-31,37.24,$2.18,17.08
2020-07-31,36.15,$2.09,17.3
2020-04-30,26.47,$2.24,11.81
2020-01-31,23.73,$2.01,11.81
2019-10-31,24.02,$-0.69,0.0
2019-07-31,25.8,$-0.56,0.0
2019-01-31,18.11,$-0.22,0.0
2018-10-31,15.97,$0.28,57.03
2018-07-31,20.67,$0.29,71.28
2018-04-30,19.4,$0.68,28.54
2018-01-31,22.5,$0.75,30.0
2019-04-30,24.52,$0.86,28.51
2017-10-31,17.77,$0.77,23.07
2017-07-31,14.92,$0.51,29.25
2017-04-30,14.35,$0.29,49.48
2017-01-31,14.15,$0.04,353.72
2016-10-31,12.35,$0.21,58.79
2016-07-31,11.08,$-0.05,0.0
2016-04-30,9.35,$-0.89,0.0
2016-01-31,8.25,$-0.82,0.0
2015-10-31,7.59,$-0.67,0.0
2015-07-31,11.43,$-0.33,0.0
2015-04-30,12.82,$0.68,18.86
2015-01-31,14.13,$0.84,16.82
2014-10-31,12.21,$0.89,13.72
2014-07-31,12.06,$0.88,13.71
2014-04-30,14.28,$0.73,19.57
2014-01-31,13.4,$0.65,20.61
2013-10-31,10.72,$0.53,20.22
2013-07-31,11.54,$0.44,26.23
2013-04-30,9.51,$0.48,19.82
2013-01-31,8.13,$0.53,15.35
2012-10-31,6.89,$0.58,11.88
2012-07-31,9.78,$0.78,12.53
2012-04-30,12.97,$0.93,13.94
2012-01-31,13.42,$0.99,13.56
2011-10-31,12.09,$1.18,10.24
2011-07-31,12.8,$1.24,10.32
2011-04-30,13.33,$1.26,10.58
2011-01-31,16.42,$1.34,12.26
2010-10-31,16.66,$1.32,12.62
2010-07-31,12.89,$1.25,10.31
2010-04-30,17.85,$1.01,17.67
2010-01-31,15.06,$0.65,23.17
2009-10-31,11.86,$0.23,51.57
