Applied Materials PE Ratio Historical Data,Applied Materials PE Ratio Historical Data,Applied Materials PE Ratio Historical Data,Applied Materials PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,220.89,,33.27
2024-04-30,198.29,$6.64,29.86
2024-01-31,163.72,$8.50,19.26
2023-10-31,131.6,$8.11,16.23
2023-07-31,150.41,$7.58,19.84
2023-04-30,111.86,$7.58,14.76
2023-01-31,110.07,$7.46,14.76
2022-10-31,86.96,$7.44,11.69
2022-07-31,104.11,$7.48,13.92
2022-04-30,108.15,$7.50,14.42
2022-01-31,135.17,$7.19,18.8
2021-10-31,133.46,$6.41,20.82
2021-07-31,136.42,$5.75,23.73
2021-04-30,129.15,$4.79,26.96
2021-01-31,93.92,$4.18,22.47
2020-10-31,57.37,$3.92,14.64
2020-07-31,62.11,$3.44,18.05
2020-04-30,47.78,$3.14,15.22
2020-01-31,55.59,$3.02,18.41
2019-10-31,51.83,$2.86,18.12
2019-07-31,46.95,$3.00,15.65
2019-04-30,41.69,$3.56,11.71
2019-01-31,36.78,$3.95,9.31
2018-10-31,30.77,$3.28,9.38
2018-07-31,45.3,$3.30,13.73
2018-04-30,46.09,$2.98,15.47
2018-01-31,49.68,$2.65,18.75
2017-10-31,52.18,$3.17,16.46
2017-07-31,40.88,$2.82,14.5
2017-04-30,37.38,$2.43,15.38
2017-01-31,31.44,$1.96,16.04
2016-10-31,26.61,$1.56,17.06
2016-07-31,23.98,$1.28,18.73
2016-04-30,18.59,$1.09,17.06
2016-01-31,15.94,$1.09,14.63
2015-10-31,15.06,$1.12,13.45
2015-07-31,15.5,$1.07,14.49
2015-04-30,17.58,$1.04,16.91
2015-01-31,20.21,$0.96,21.05
2014-10-31,19.46,$0.89,21.86
2014-07-31,18.38,$0.81,22.69
2014-04-30,16.63,$0.71,23.42
2014-01-31,14.6,$0.39,37.43
2013-10-31,15.41,$0.21,73.36
2013-07-31,13.99,$-0.36,0.0
2013-04-30,12.35,$-0.33,0.0
2013-01-31,10.92,$0.00,0.0
2012-10-31,8.89,$0.06,148.16
2012-07-31,9.06,$0.82,11.05
2012-04-30,9.89,$1.01,9.8
2012-01-31,10.07,$1.16,8.68
2011-10-31,10.03,$1.45,6.92
2011-07-31,9.96,$1.46,6.82
2011-04-30,12.61,$1.19,10.6
2011-01-31,12.56,$1.02,12.31
2010-10-31,9.83,$0.70,14.04
2010-07-31,9.33,$0.45,20.73
2010-04-30,10.84,$0.32,33.86
2010-01-31,9.53,$-0.07,0.0
2009-10-31,9.5,$-0.23,0.0
