Charter Communications PE Ratio Historical Data,Charter Communications PE Ratio Historical Data,Charter Communications PE Ratio Historical Data,Charter Communications PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,271.46,,8.78
2024-03-31,290.63,$30.92,9.4
2023-12-31,388.68,$30.02,12.95
2023-09-30,439.82,$30.64,14.35
2023-06-30,367.37,$29.77,12.34
2023-03-31,357.61,$30.52,11.72
2022-12-31,339.1,$30.77,11.02
2022-09-30,303.35,$32.01,9.48
2022-06-30,468.53,$31.13,15.05
2022-03-31,545.52,$27.62,19.75
2021-12-31,651.97,$24.83,26.26
2021-09-30,727.56,$21.95,33.15
2021-06-30,721.45,$19.35,37.28
2021-03-31,617.02,$17.69,34.88
2020-12-31,661.55,$15.44,42.85
2020-09-30,624.34,$12.67,49.28
2020-06-30,510.04,$10.51,48.53
2020-03-31,436.31,$8.27,52.76
2019-12-31,485.08,$7.52,64.51
2019-09-30,412.12,$5.53,74.52
2019-06-30,395.18,$5.90,66.98
2019-03-31,346.91,$5.66,61.29
2018-12-31,284.97,$5.25,54.28
2018-09-30,325.88,$38.52,8.46
2018-06-30,293.21,$36.60,8.01
2018-03-31,311.22,$35.97,8.65
2017-12-31,335.96,$35.84,9.37
2017-09-30,363.42,$2.95,123.19
2017-06-30,336.85,$3.45,97.64
2017-03-31,327.32,$17.88,18.31
2016-12-31,287.92,$15.45,18.63
2016-09-30,269.97,$12.58,21.47
2016-06-30,228.64,$12.42,18.41
2016-03-31,202.43,$-3.74,0.0
2015-12-31,183.1,$-2.69,0.0
2015-09-30,175.43,$-1.97,0.0
2015-06-30,171.25,$-3.04,0.0
2015-03-31,193.11,$-2.30,0.0
2014-12-31,166.62,$-1.88,0.0
2014-09-30,151.37,$-1.01,0.0
2014-06-30,158.38,$-1.22,0.0
2014-03-31,123.2,$-1.81,0.0
2013-12-31,136.76,$-1.89,0.0
2013-09-30,134.76,$-2.73,0.0
2013-06-30,123.85,$-2.94,0.0
2013-03-31,104.18,$-2.81,0.0
2012-12-31,76.24,$-3.40,0.0
2012-09-30,75.06,$-3.64,0.0
2012-06-30,70.87,$-3.55,0.0
2012-03-31,63.45,$-3.71,0.0
2011-12-31,56.94,$-3.73,0.0
2011-09-30,46.84,$-3.86,0.0
2011-06-30,54.26,$-3.92,0.0
2011-03-31,50.63,$-3.63,0.0
2010-12-31,38.94,$-2.32,0.0
