ON Semiconductor PE Ratio Historical Data,ON Semiconductor PE Ratio Historical Data,ON Semiconductor PE Ratio Historical Data,ON Semiconductor PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,72.56,,14.81
2024-03-31,73.55,$4.90,15.01
2023-12-31,83.53,$4.89,17.08
2023-09-30,92.95,$4.96,18.74
2023-06-30,94.58,$4.37,21.64
2023-03-31,82.32,$4.10,20.08
2022-12-31,62.37,$4.25,14.68
2022-09-30,62.33,$3.86,16.15
2022-06-30,50.31,$3.86,13.03
2022-03-31,62.61,$3.26,19.21
2021-12-31,67.92,$2.28,29.79
2021-09-30,45.77,$1.53,29.92
2021-06-30,38.28,$1.21,31.64
2021-03-31,41.61,$0.79,52.67
2020-12-31,32.73,$0.56,58.45
2020-09-30,21.69,$0.49,44.27
2020-06-30,19.82,$-0.04,0.0
2020-03-31,12.44,$0.20,62.2
2019-12-31,24.38,$0.50,48.76
2019-09-30,19.21,$0.75,25.61
2019-06-30,20.21,$1.28,15.79
2019-03-31,20.57,$1.39,14.8
2018-12-31,16.51,$1.43,11.55
2018-09-30,18.43,$2.26,8.15
2018-06-30,22.24,$2.13,10.44
2018-03-31,24.46,$2.00,12.23
2017-12-31,20.94,$1.87,11.2
2017-09-30,18.47,$0.91,20.3
2017-06-30,14.04,$0.68,20.65
2017-03-31,15.49,$0.52,29.79
2016-12-31,12.76,$0.43,29.67
2016-09-30,12.32,$0.30,41.07
2016-06-30,8.82,$0.39,22.62
2016-03-31,9.59,$0.45,21.31
2015-12-31,9.8,$0.49,20.0
2015-09-30,9.4,$0.37,25.41
2015-06-30,11.69,$0.35,33.4
2015-03-31,12.11,$0.43,28.16
2014-12-31,10.13,$0.43,23.56
2014-09-30,8.94,$0.48,18.63
2014-06-30,9.14,$0.50,18.28
2014-03-31,9.4,$0.41,22.93
2013-12-31,8.24,$0.33,24.97
2013-09-30,7.31,$-0.04,0.0
2013-06-30,8.08,$-0.12,0.0
2013-03-31,8.28,$-0.21,0.0
2012-12-31,7.05,$-0.20,0.0
2012-09-30,6.18,$0.09,68.61
2012-06-30,7.1,$-0.05,0.0
2012-03-31,9.01,$0.02,450.5
2011-12-31,7.72,$0.12,64.33
2011-09-30,7.18,$0.28,25.64
2011-06-30,10.47,$0.59,17.75
2011-03-31,9.86,$0.68,14.5
2010-12-31,9.88,$0.66,14.97
2010-09-30,7.21,$0.67,10.76
2010-06-30,6.38,$0.54,11.81
2010-03-31,8.0,$0.35,22.86
2009-12-31,8.82,$0.13,67.85
