Baker Hughes PE Ratio Historical Data,Baker Hughes PE Ratio Historical Data,Baker Hughes PE Ratio Historical Data,Baker Hughes PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,32.37,,18.08
2024-03-31,33.28,$1.79,18.59
2023-12-31,33.72,$1.91,17.65
2023-09-30,34.64,$1.66,20.87
2023-06-30,30.83,$1.13,27.28
2023-03-31,27.96,$-0.11,0.0
2022-12-31,28.44,$-0.60,0.0
2022-09-30,20.05,$-0.46,0.0
2022-06-30,27.42,$-0.43,0.0
2022-03-31,34.41,$0.33,104.28
2021-12-31,22.59,$-0.36,0.0
2021-09-30,23.05,$0.23,100.24
2021-06-30,21.14,$-0.03,0.0
2021-03-31,19.83,$-0.26,0.0
2020-12-31,18.98,$-15.29,0.0
2020-09-30,11.96,$-16.13,0.0
2020-06-30,13.7,$-15.77,0.0
2020-03-31,9.24,$-15.48,0.0
2019-12-31,22.37,$0.22,101.67
2019-09-30,20.08,$0.43,46.7
2019-06-30,21.16,$0.35,60.45
2019-03-31,23.63,$0.32,73.84
2018-12-31,18.19,$0.43,42.31
2018-09-30,28.41,$0.08,355.09
2018-06-30,27.59,$-0.19,0.0
2018-03-31,23.08,$-0.56,0.0
2017-12-31,26.15,$-1.71,0.0
2017-09-30,30.09,$-2.64,0.0
2017-06-30,30.32,$-4.48,0.0
2016-12-31,36.14,$-6.28,0.0
2016-09-30,28.08,$-7.65,0.0
2016-06-30,25.11,$-7.01,0.0
2016-03-31,24.38,$-3.41,0.0
2015-12-31,25.67,$-0.33,0.0
2015-09-30,28.95,$2.82,10.27
2014-12-31,31.19,$3.92,7.96
2014-09-30,36.19,$2.96,12.23
2014-06-30,41.42,$1.67,24.8
2014-03-31,36.17,$1.64,22.06
2013-12-31,30.74,$1.44,21.35
2015-06-30,34.32,$1.48,23.19
2013-09-30,27.24,$2.40,11.35
2013-06-30,25.52,$2.26,11.29
2013-03-31,25.59,$2.72,9.41
2012-12-31,22.45,$2.98,7.53
2012-09-30,24.77,$3.21,7.72
2012-06-30,22.43,$4.19,5.35
2012-03-31,22.81,$3.96,5.76
2011-12-31,26.38,$3.97,6.64
2011-09-30,24.96,$4.02,6.21
2011-06-30,39.16,$3.00,13.05
2011-03-31,39.54,$2.46,16.07
2010-12-31,30.72,$2.00,15.36
2010-09-30,22.81,$1.50,15.21
2010-06-30,22.19,$1.09,20.36
2010-03-31,24.93,$1.14,21.87
2009-12-31,21.47,$1.36,15.79
2009-09-30,22.55,$0.79,28.55
2009-06-30,19.19,$-0.74,0.0
