Palo Alto Networks PE Ratio Historical Data,Palo Alto Networks PE Ratio Historical Data,Palo Alto Networks PE Ratio Historical Data,Palo Alto Networks PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,321.6,,52.81
2024-04-30,290.89,$6.09,47.77
2024-01-31,338.51,$6.40,52.89
2023-10-31,243.02,$1.76,138.08
2023-07-31,249.96,$1.26,198.38
2023-04-30,182.46,$0.63,289.62
2023-01-31,158.64,$0.07,2164.26
2022-10-31,171.59,$-0.49,0.0
2022-07-31,166.37,$-0.91,0.0
2022-04-30,187.09,$-1.33,0.0
2022-01-31,172.47,$-1.58,0.0
2021-10-31,169.7,$-1.76,0.0
2021-07-31,133.02,$-1.73,0.0
2021-04-30,117.8,$-1.52,0.0
2021-01-31,116.92,$-1.28,0.0
2020-10-31,73.73,$-1.03,0.0
2020-07-31,85.31,$-0.92,0.0
2020-04-30,65.5,$-0.79,0.0
2020-01-31,78.26,$-0.60,0.0
2019-10-31,75.8,$-0.36,0.0
2019-07-31,75.51,$-0.29,0.0
2019-04-30,82.94,$-0.22,0.0
2019-01-31,71.61,$-0.32,0.0
2018-10-31,61.01,$-0.44,0.0
2018-07-31,66.09,$-0.54,0.0
2018-04-30,64.17,$-0.67,0.0
2018-01-31,52.62,$-0.72,0.0
2017-10-31,49.07,$-0.82,0.0
2017-07-31,43.93,$-0.82,0.0
2017-04-30,36.14,$-0.88,0.0
2017-01-31,49.19,$-0.92,0.0
2016-10-31,51.28,$-0.94,0.0
2016-07-31,43.63,$-0.86,0.0
2016-04-30,50.29,$-0.84,0.0
2016-01-31,49.83,$-0.76,0.0
2015-10-31,53.67,$-0.70,0.0
2015-07-31,61.94,$-0.67,0.0
2015-04-30,49.24,$-0.63,0.0
2015-01-31,42.13,$-1.06,0.0
2014-10-31,35.23,$-1.07,0.0
2014-07-31,26.95,$-0.98,0.0
2014-04-30,21.19,$-0.91,0.0
2014-01-31,19.82,$-0.33,0.0
2013-10-31,14.05,$-0.16,0.0
2013-07-31,16.31,$-0.14,0.0
2013-04-30,18.03,$-0.12,0.0
