Coca-Cola Europacific Partners PE Ratio Historical Data,Coca-Cola Europacific Partners PE Ratio Historical Data,Coca-Cola Europacific Partners PE Ratio Historical Data,Coca-Cola Europacific Partners PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,73.08,,38.46
2023-06-30,62.47,$1.90,32.88
2018-12-31,40.2,$2.57,15.64
2018-09-30,39.6,$2.25,17.6
2017-09-30,35.18,$2.15,16.36
2017-06-30,34.18,$1.71,19.99
2016-12-31,26.23,$1.71,15.34
2016-09-30,33.33,$2.43,13.72
2016-03-31,32.92,$2.43,13.55
2015-12-31,31.95,$2.54,12.58
2015-09-30,31.37,$2.33,13.46
2015-06-30,28.18,$2.57,10.97
2015-03-31,28.68,$2.60,11.03
2014-12-31,28.69,$2.64,10.87
2014-09-30,28.78,$2.69,10.7
2014-06-30,31.0,$2.80,11.07
2014-03-31,30.99,$2.68,11.56
2013-12-31,28.63,$2.45,11.69
2013-09-30,25.96,$2.28,11.39
2013-06-30,22.59,$1.52,14.86
2013-03-31,23.59,$1.75,13.48
2012-12-31,20.16,$2.21,9.12
2018-03-31,35.74,$2.22,16.1
2012-09-30,19.76,$2.27,8.71
2012-06-30,17.63,$2.26,7.8
2012-03-31,17.87,$1.90,9.41
2011-12-31,16.02,$1.83,8.75
2011-09-30,15.38,$2.08,7.39
2011-03-31,16.71,$1.89,8.84
2010-12-31,15.26,$1.79,8.52
2010-09-30,12.93,$1.73,7.47
2010-06-30,10.75,$1.86,5.78
2010-03-31,11.46,$1.67,6.86
2009-12-31,8.75,$2.10,4.17
2011-06-30,17.95,$2.01,8.93
2009-09-30,8.8,$1.99,4.42
