Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,475.43,,45.45
2024-02-29,560.28,$10.46,53.56
2023-11-30,611.01,$11.81,51.74
2023-08-31,559.34,$11.11,50.35
2023-05-31,417.79,$10.48,39.87
2023-02-28,323.95,$10.15,31.92
2022-11-30,344.93,$10.10,34.15
2022-08-31,373.44,$10.14,36.83
2022-05-31,416.48,$10.24,40.67
2022-02-28,467.68,$10.07,46.44
2021-11-30,669.85,$10.02,66.85
2021-08-31,663.7,$12.09,54.9
2021-05-31,504.58,$11.54,43.72
2021-02-28,459.67,$11.49,40.01
2020-11-30,478.47,$10.84,44.14
2020-08-31,513.39,$7.94,64.66
2020-05-31,386.6,$7.58,51.0
2020-02-29,345.12,$6.60,52.29
2019-11-30,309.53,$6.00,51.59
2019-08-31,284.51,$5.63,50.53
2019-05-31,270.9,$5.36,50.54
2019-02-28,262.5,$5.40,48.61
2018-11-30,250.89,$5.21,48.16
2018-08-31,263.51,$4.84,54.44
2018-05-31,249.28,$4.34,57.44
2018-02-28,209.13,$3.76,55.62
2017-11-30,181.47,$3.39,53.53
2017-08-31,155.16,$3.19,48.64
2017-05-31,141.86,$2.89,49.09
2017-02-28,118.34,$2.62,45.17
2016-11-30,102.81,$2.32,44.31
2016-08-31,102.31,$1.96,52.2
2016-05-31,99.47,$1.76,56.52
2016-02-29,85.15,$1.57,54.24
2015-11-30,91.46,$1.21,75.59
2015-08-31,78.57,$0.86,91.36
2015-05-31,79.09,$0.69,114.62
2014-11-30,73.68,$0.49,150.37
2014-08-31,71.9,$0.48,149.79
2014-05-31,64.54,$0.56,115.25
2014-02-28,68.63,$0.55,124.78
2013-11-30,56.78,$0.61,93.08
2015-02-28,79.1,$0.61,129.67
2013-08-31,45.75,$0.88,51.99
2013-05-31,42.91,$1.12,38.31
2013-02-28,39.31,$1.42,27.68
2012-11-30,34.61,$1.66,20.85
2012-08-31,31.27,$1.57,19.92
2012-05-31,31.05,$1.56,19.9
2012-02-29,32.89,$1.56,21.08
2011-11-30,27.42,$1.65,16.62
2011-08-31,25.24,$1.83,13.79
2011-05-31,34.63,$1.88,18.42
2011-02-28,34.5,$1.71,20.18
2010-11-30,27.8,$1.49,18.66
2010-08-31,27.7,$0.90,30.78
2010-05-31,32.08,$0.70,45.83
2010-02-28,34.65,$0.72,48.13
2009-11-30,35.08,$0.74,47.41
