Amazon PE Ratio Historical Data,Amazon PE Ratio Historical Data,Amazon PE Ratio Historical Data,Amazon PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,180.75,,50.63
2024-03-31,180.38,$3.57,50.53
2023-12-31,151.94,$2.90,52.39
2023-09-30,127.12,$1.93,65.87
2023-06-30,130.36,$1.27,102.65
2023-03-31,103.29,$0.42,245.93
2022-12-31,84.0,$-0.27,0.0
2022-09-30,112.73,$1.09,103.47
2022-06-30,105.95,$1.12,94.98
2022-03-31,162.61,$2.07,78.5
2021-12-31,166.32,$3.24,51.35
2021-09-30,163.86,$2.56,64.11
2021-06-30,171.59,$2.87,59.82
2021-03-31,154.33,$2.63,58.74
2020-12-31,162.46,$2.16,75.16
2020-09-30,157.06,$1.67,94.13
2020-06-30,137.61,$1.31,104.97
2019-12-31,92.17,$1.15,80.11
2019-09-30,86.59,$1.13,76.69
2019-06-30,94.45,$1.17,80.87
2019-03-31,88.82,$1.19,74.36
2018-12-31,74.92,$1.09,68.51
2020-03-31,97.25,$0.96,101.83
2018-09-30,99.91,$0.89,112.01
2018-06-30,84.79,$0.63,134.47
2018-03-31,72.19,$0.40,181.85
2017-12-31,58.33,$0.31,189.7
2017-09-30,47.95,$0.20,243.41
2017-06-30,48.28,$0.20,245.09
2017-03-31,44.22,$0.27,166.24
2016-12-31,37.4,$0.25,152.36
2016-09-30,41.76,$0.22,191.14
2016-06-30,35.7,$0.20,177.59
2016-03-31,29.61,$0.12,243.71
2015-12-31,33.71,$0.06,543.76
2015-09-30,25.52,$0.03,739.77
2015-06-30,21.65,$-0.02,0.0
2015-03-31,18.56,$-0.04,0.0
2014-12-31,15.48,$-0.03,0.0
2014-09-30,16.08,$-0.02,0.0
2014-06-30,16.2,$0.02,852.63
2014-03-31,16.78,$0.03,532.63
2013-12-31,19.89,$0.03,652.18
2013-09-30,15.59,$-0.03,0.0
2013-06-30,13.85,$-0.02,0.0
2012-12-31,12.51,$-0.00,0.0
2012-09-30,12.69,$0.00,0.0
2012-06-30,11.39,$0.04,268.0
2012-03-31,10.1,$0.05,206.15
2011-12-31,8.63,$0.06,155.57
2013-03-31,13.29,$0.06,227.22
2011-09-30,10.79,$0.10,113.53
2011-06-30,10.2,$0.11,89.87
2011-03-31,8.98,$0.12,77.79
2010-12-31,8.98,$0.13,70.98
2010-09-30,7.83,$0.12,63.43
2010-06-30,5.45,$0.12,45.23
2010-03-31,6.77,$0.11,59.41
2009-12-31,6.71,$0.10,66.11
