KLA PE Ratio Historical Data,KLA PE Ratio Historical Data,KLA PE Ratio Historical Data,KLA PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,779.06,,40.81
2024-03-31,697.19,$19.09,36.52
2023-12-31,578.86,$19.69,29.4
2023-09-30,455.52,$22.30,20.43
2023-06-30,480.43,$24.09,19.94
2023-03-31,394.07,$24.52,16.07
2022-12-31,370.99,$24.32,15.25
2022-09-30,296.76,$22.14,13.4
2022-06-30,311.83,$21.90,14.24
2022-03-31,356.63,$20.60,17.31
2021-12-31,417.84,$19.43,21.51
2021-09-30,324.15,$17.66,18.35
2021-06-30,313.16,$13.39,23.39
2021-03-31,318.21,$11.92,26.7
2020-12-31,248.67,$8.76,28.39
2020-09-30,185.37,$8.22,22.55
2020-06-30,185.29,$7.69,24.09
2020-03-31,136.25,$6.41,21.26
2019-12-31,168.04,$7.14,23.53
2019-09-30,149.67,$7.16,20.9
2019-06-30,110.32,$7.54,14.63
2019-03-31,110.69,$8.41,13.16
2018-12-31,82.38,$9.13,9.02
2018-09-30,92.89,$5.85,15.88
2018-06-30,93.03,$4.93,18.87
2018-03-31,98.26,$4.32,22.74
2017-12-31,94.19,$3.89,24.21
2017-06-30,81.03,$5.88,13.78
2017-03-31,83.73,$5.99,13.98
2016-12-31,68.87,$6.16,11.18
2016-09-30,60.58,$5.76,10.52
2016-06-30,63.17,$5.61,11.26
2017-09-30,94.48,$4.54,20.81
2016-03-31,62.32,$3.65,17.07
2015-12-31,58.87,$3.34,17.63
2015-09-30,42.11,$2.48,16.98
2015-06-30,46.87,$2.25,20.83
2015-03-31,48.2,$2.13,22.63
2014-12-31,57.7,$2.53,22.8
2014-09-30,51.59,$3.24,15.92
2014-06-30,47.25,$3.47,13.62
2014-03-31,44.65,$3.50,12.76
2013-12-31,41.34,$3.27,12.64
2013-09-30,38.74,$3.07,12.62
2013-06-30,35.21,$3.21,10.97
2013-03-31,33.08,$3.87,8.55
2012-12-31,29.74,$4.10,7.25
2012-09-30,29.44,$4.13,7.13
2012-06-30,30.17,$4.46,6.76
2012-03-31,33.1,$4.43,7.47
2011-12-31,29.15,$4.44,6.57
2011-09-30,22.95,$4.87,4.71
2011-06-30,24.04,$4.65,5.17
2011-03-31,27.94,$3.88,7.2
2010-12-31,22.7,$2.99,7.59
2010-09-30,20.56,$2.03,10.13
2010-06-30,16.13,$1.24,13.01
2010-03-31,17.81,$0.43,41.42
2009-12-31,20.72,$-0.39,0.0
