Linde PE Ratio Historical Data,Linde PE Ratio Historical Data,Linde PE Ratio Historical Data,Linde PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,435.57,,33.79
2024-03-31,464.32,$12.89,36.02
2023-12-31,410.71,$12.60,32.6
2023-09-30,372.35,$12.11,30.75
2023-06-30,381.08,$11.46,33.25
2023-03-31,355.44,$9.01,39.45
2022-12-31,326.18,$8.25,39.54
2022-09-30,269.59,$7.56,35.66
2022-06-30,286.33,$6.90,41.5
2022-03-31,316.98,$7.76,40.85
2021-12-31,342.36,$7.32,46.77
2021-09-30,288.99,$6.79,42.56
2021-06-30,283.82,$6.23,45.56
2021-03-31,274.06,$5.50,49.83
2020-12-31,256.68,$4.71,54.5
2020-09-30,231.07,$4.21,54.89
2020-06-30,205.06,$4.24,48.36
2020-03-31,166.48,$4.33,38.45
2019-12-31,204.87,$4.20,48.78
2019-09-30,185.6,$3.25,57.11
2019-06-30,191.5,$1.90,100.79
2019-03-31,166.97,$2.59,64.47
2018-12-31,147.33,$3.24,45.47
2018-09-30,150.96,$3.35,45.06
2018-06-30,148.54,$4.80,30.95
2018-03-31,134.85,$4.56,29.57
2017-12-31,143.77,$4.32,33.28
2017-09-30,129.89,$5.62,23.11
2017-06-30,122.47,$5.35,22.89
2017-03-31,108.94,$5.33,20.44
2016-12-31,107.65,$5.45,19.75
2016-09-30,110.99,$5.44,20.4
2016-06-30,102.61,$5.32,19.29
2015-12-31,92.83,$5.36,17.32
2015-09-30,91.74,$4.92,18.65
2015-06-30,106.93,$4.76,22.46
2015-03-31,107.37,$5.32,20.18
2014-12-31,115.21,$5.47,21.06
2016-03-31,104.49,$5.95,17.56
2014-09-30,114.71,$6.30,18.21
2014-06-30,118.13,$6.17,19.15
2014-03-31,115.9,$6.08,19.06
2013-12-31,115.07,$5.87,19.6
2013-09-30,105.86,$5.66,18.7
2013-06-30,100.9,$5.60,18.02
2013-03-31,97.22,$5.53,17.58
2012-12-31,94.9,$5.61,16.92
2012-09-30,89.6,$5.61,15.97
2012-06-30,93.3,$5.58,16.72
2012-03-31,97.84,$5.54,17.66
2011-12-31,90.77,$5.45,16.66
2011-09-30,78.99,$4.50,17.55
2011-06-30,91.12,$4.31,21.14
2011-03-31,84.99,$4.12,20.63
2010-12-31,79.46,$3.84,20.69
2010-09-30,74.76,$4.50,16.61
2010-06-30,62.62,$4.33,14.46
2010-03-31,67.99,$4.10,16.58
2009-12-31,65.4,$4.02,16.27
