Fastenal PE Ratio Historical Data,Fastenal PE Ratio Historical Data,Fastenal PE Ratio Historical Data,Fastenal PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,66.02,,32.68
2024-03-31,76.7,$2.02,37.97
2023-12-31,64.03,$2.02,31.7
2023-09-30,53.36,$1.99,26.81
2023-06-30,57.26,$1.97,29.07
2023-03-31,52.01,$1.95,26.67
2022-12-31,45.32,$1.90,23.85
2022-09-30,43.81,$1.87,23.43
2022-06-30,47.19,$1.79,26.36
2022-03-31,55.84,$1.71,32.66
2021-12-31,59.9,$1.61,37.2
2021-09-30,48.02,$1.55,30.98
2021-06-30,48.13,$1.51,31.87
2021-03-31,46.29,$1.51,30.66
2020-12-31,44.69,$1.49,29.99
2020-09-30,40.7,$1.46,27.87
2020-06-30,38.46,$1.45,26.52
2020-03-31,27.86,$1.39,20.05
2019-12-31,32.72,$1.38,23.71
2019-09-30,28.76,$1.37,21.07
2019-06-30,28.49,$1.34,21.26
2019-03-31,27.94,$1.35,20.7
2018-12-31,22.56,$1.32,17.16
2018-09-30,24.83,$1.29,19.33
2018-06-30,20.46,$1.19,17.19
2018-03-31,23.03,$1.08,21.32
2017-12-31,22.92,$1.01,22.81
2017-09-30,18.97,$0.94,20.18
2017-06-30,17.99,$0.91,19.76
2017-03-31,21.13,$0.88,24.15
2016-12-31,19.15,$0.87,22.14
2016-09-30,16.9,$0.86,19.65
2016-06-30,17.83,$0.88,20.38
2016-03-31,19.55,$0.89,21.97
2015-12-31,16.16,$0.89,18.26
2015-09-30,14.39,$0.89,16.17
2015-06-30,16.46,$0.88,18.71
2015-03-31,16.07,$0.86,18.68
2014-12-31,18.33,$0.84,21.95
2014-09-30,17.2,$0.80,21.5
2014-06-30,18.85,$0.78,24.32
2014-03-31,18.68,$0.76,24.58
2013-12-31,17.9,$0.76,23.71
2013-09-30,18.85,$0.76,24.96
2013-06-30,17.07,$0.74,23.07
2013-03-31,19.06,$0.73,26.29
2012-12-31,17.29,$0.71,24.35
2012-09-30,15.67,$0.70,22.54
2012-06-30,14.62,$0.68,21.67
2012-03-31,19.56,$0.65,30.32
2011-12-31,15.71,$0.61,25.75
2011-09-30,11.94,$0.57,20.95
2011-06-30,12.86,$0.53,24.16
2011-03-31,11.54,$0.49,23.55
2010-12-31,10.58,$0.45,23.51
2010-09-30,9.32,$0.42,22.46
2010-06-30,8.72,$0.37,23.73
2010-03-31,8.34,$0.32,25.86
2009-12-31,7.17,$0.31,23.12
