Broadcom PE Ratio Historical Data,Broadcom PE Ratio Historical Data,Broadcom PE Ratio Historical Data,Broadcom PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,1407.84,,52.18
2024-01-31,1175.16,$26.98,43.56
2023-10-31,834.08,$32.94,25.32
2023-07-31,885.96,$32.52,27.24
2023-04-30,614.32,$31.93,19.24
2023-01-31,569.52,$29.71,19.17
2022-10-31,453.87,$26.50,17.13
2022-07-31,512.62,$23.12,22.17
2022-04-30,526.43,$20.17,26.1
2022-01-31,552.57,$17.54,31.5
2021-10-31,498.28,$15.00,33.22
2021-07-31,451.6,$13.48,33.5
2021-04-30,421.17,$10.73,39.25
2021-01-31,412.78,$8.60,48.0
2020-10-31,317.72,$6.29,50.51
2020-07-31,285.21,$5.33,53.51
2020-04-30,241.98,$5.59,43.29
2020-01-31,267.33,$6.06,44.11
2019-10-31,253.96,$6.44,39.44
2019-07-31,249.16,$7.11,35.04
2019-04-30,270.95,$8.11,33.41
2019-01-31,226.21,$14.80,15.28
2018-10-31,186.49,$28.30,6.59
2018-07-31,183.71,$27.16,6.76
2018-04-30,188.78,$25.59,7.38
2018-01-31,202.65,$18.31,11.07
2017-10-31,214.21,$2.10,102.01
2017-07-31,199.4,$-0.15,0.0
2017-04-30,177.74,$-4.31,0.0
2016-10-31,135.66,$-4.06,0.0
2016-07-31,128.67,$-0.98,0.0
2016-04-30,115.41,$0.34,339.44
2016-01-31,105.53,$4.20,25.13
2015-10-31,96.88,$4.11,23.57
2017-01-31,159.85,$3.88,41.2
2015-07-31,98.15,$3.81,25.76
2015-04-30,91.41,$2.32,39.4
2015-01-31,80.23,$1.72,46.64
2014-10-31,67.02,$0.99,67.7
2014-07-31,53.72,$1.17,45.91
2014-04-30,48.97,$2.38,20.57
2014-01-31,41.96,$2.22,18.9
2013-10-31,34.72,$2.19,15.85
2013-07-31,27.87,$2.15,12.96
2013-04-30,24.15,$2.17,11.13
2013-01-31,26.89,$2.26,11.9
2012-10-31,24.7,$2.26,10.93
2012-07-31,27.47,$2.23,12.32
2012-04-30,25.55,$2.22,11.51
2012-01-31,25.07,$2.16,11.61
2011-10-31,24.84,$2.32,10.71
2011-07-31,24.66,$2.21,11.16
2011-01-31,20.94,$2.01,10.42
2010-10-31,17.95,$1.69,10.62
2010-07-31,15.83,$0.94,16.84
2010-04-30,14.92,$0.98,15.22
