Amgen PE Ratio Historical Data,Amgen PE Ratio Historical Data,Amgen PE Ratio Historical Data,Amgen PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,305.84,,43.69
2024-03-31,282.3,$7.00,40.33
2023-12-31,283.77,$12.49,22.72
2023-09-30,262.71,$14.07,18.67
2023-06-30,215.29,$14.83,14.52
2023-03-31,232.22,$14.71,15.79
2022-12-31,250.07,$12.11,20.65
2022-09-30,213.16,$12.47,17.09
2022-06-30,228.32,$9.30,24.55
2022-03-31,225.14,$9.68,23.26
2021-12-31,207.66,$9.76,21.28
2021-06-30,221.41,$9.83,22.52
2021-03-31,224.44,$12.07,18.59
2020-12-31,205.85,$12.31,16.72
2020-09-30,226.03,$12.40,18.23
2020-06-30,208.37,$12.24,17.02
2020-03-31,177.91,$12.76,13.94
2019-12-31,210.05,$12.87,16.32
2019-09-30,167.5,$13.03,12.86
2019-06-30,159.51,$12.62,12.64
2019-03-31,163.06,$12.53,13.01
2018-12-31,165.79,$12.60,13.16
2018-09-30,175.34,$3.70,47.39
2018-06-30,155.09,$3.60,43.08
2018-03-31,142.16,$3.03,46.92
2017-12-31,143.95,$2.37,60.74
2017-09-30,153.31,$10.94,14.01
2017-06-30,140.67,$10.65,13.21
2016-12-31,117.75,$10.24,11.5
2016-09-30,133.43,$10.02,13.32
2016-06-30,121.01,$10.13,11.95
2016-03-31,118.47,$10.10,11.73
2015-12-31,127.37,$9.75,13.06
2017-03-31,133.04,$9.49,14.02
2015-09-30,107.86,$8.38,12.87
2015-06-30,119.27,$7.55,15.8
2015-03-31,123.57,$7.41,16.68
2014-12-31,122.5,$6.70,18.28
2014-09-30,107.62,$6.35,16.95
2014-06-30,90.26,$6.53,13.82
2014-03-31,93.53,$6.17,15.16
2013-12-31,86.08,$6.65,12.94
2013-09-30,84.1,$8.63,9.75
2013-06-30,73.81,$7.85,9.4
2013-03-31,76.36,$7.61,10.03
2021-09-30,194.63,$7.34,26.52
2012-12-31,63.85,$5.51,11.59
2012-09-30,62.18,$5.59,11.12
2012-06-30,53.55,$4.68,11.44
2012-03-31,49.67,$4.32,11.5
2011-12-31,46.68,$4.04,11.55
2011-09-30,39.75,$4.03,9.86
2011-06-30,41.98,$4.81,8.73
2011-03-31,38.45,$4.81,7.99
2010-12-31,39.5,$4.79,8.25
2010-09-30,39.65,$4.63,8.56
2010-06-30,37.84,$4.71,8.03
2010-03-31,43.05,$4.71,9.14
2009-12-31,40.7,$4.51,9.02
