Intuit PE Ratio Historical Data,Intuit PE Ratio Historical Data,Intuit PE Ratio Historical Data,Intuit PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,606.99,,61.94
2024-01-31,630.45,$9.80,64.33
2023-10-31,493.53,$9.15,53.94
2023-07-31,509.34,$8.44,60.35
2023-04-30,441.13,$7.92,55.7
2023-01-31,419.26,$6.82,61.47
2022-10-31,423.21,$6.57,64.42
2022-07-31,450.74,$7.25,62.17
2022-04-30,413.08,$8.82,46.83
2022-01-31,546.94,$7.84,69.76
2021-10-31,615.9,$7.56,81.47
2021-07-31,520.77,$7.49,69.53
2021-04-30,404.53,$7.80,51.86
2021-01-31,354.04,$6.61,53.56
2020-10-31,307.93,$7.45,41.33
2020-07-31,299.28,$6.92,43.25
2020-04-30,263.11,$5.07,51.9
2020-01-31,272.84,$6.18,44.15
2019-10-31,250.1,$5.99,41.75
2019-07-31,268.8,$5.90,45.56
2019-04-30,242.93,$6.25,38.87
2019-01-31,208.45,$5.62,37.09
2018-10-31,203.33,$4.82,42.18
2018-07-31,196.39,$4.62,42.51
2018-04-30,177.36,$4.53,39.15
2018-01-31,160.78,$3.64,44.17
2017-10-31,144.27,$3.77,38.27
2017-07-31,130.73,$3.72,35.14
2017-04-30,118.98,$3.47,34.29
2017-01-31,112.36,$3.71,30.29
2016-10-31,102.74,$3.75,27.4
2016-07-31,104.54,$3.76,27.8
2016-04-30,94.78,$3.97,23.87
2016-01-31,89.46,$1.81,49.43
2015-10-31,90.97,$1.49,61.05
2015-07-31,98.43,$1.31,75.14
2015-04-30,93.15,$1.12,83.17
2015-01-31,80.4,$2.73,29.45
2014-10-31,81.27,$2.83,28.72
2014-07-31,75.47,$3.08,24.5
2014-04-30,69.58,$3.17,21.95
2014-01-31,67.11,$2.49,26.95
2013-10-31,65.26,$2.85,22.9
2013-07-31,58.25,$2.83,20.58
2013-04-30,54.2,$2.89,18.76
2013-01-31,56.54,$2.60,21.75
2012-10-31,53.72,$2.76,19.46
2012-07-31,52.3,$2.61,20.04
2012-04-30,52.12,$2.41,21.63
2012-01-31,50.62,$2.19,23.11
2011-10-31,48.0,$2.03,23.64
2011-07-31,41.63,$2.02,20.61
2011-04-30,49.53,$2.06,24.04
2011-01-31,41.84,$1.64,25.51
2010-10-31,42.77,$1.76,24.3
2010-07-31,35.44,$1.77,20.02
2010-04-30,32.26,$1.70,18.98
2010-01-31,26.4,$0.18,146.65
2009-10-31,25.92,$1.30,19.93
