PepsiCo PE Ratio Historical Data,PepsiCo PE Ratio Historical Data,PepsiCo PE Ratio Historical Data,PepsiCo PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,177.99,,26.77
2024-03-31,175.01,$6.65,26.32
2023-12-31,168.55,$6.57,25.65
2023-09-30,166.9,$6.00,27.82
2023-06-30,181.15,$5.71,31.73
2023-03-31,177.07,$4.75,37.28
2022-12-31,174.32,$6.41,27.19
2022-09-30,156.56,$6.99,22.4
2022-06-30,158.77,$6.64,23.91
2022-03-31,158.36,$7.31,21.66
2021-12-31,163.27,$5.49,29.74
2021-09-30,140.43,$5.87,23.92
2021-06-30,137.4,$5.92,23.21
2021-03-31,130.22,$5.40,24.11
2020-12-31,135.45,$5.12,26.46
2020-09-30,125.7,$5.05,24.89
2020-06-30,119.08,$4.89,24.35
2020-03-31,107.29,$5.15,20.83
2019-12-31,121.25,$5.19,23.36
2019-09-30,120.79,$8.76,13.79
2019-06-30,114.72,$9.02,12.72
2019-03-31,106.45,$8.86,12.01
2018-12-31,95.2,$8.80,10.82
2018-09-30,95.58,$3.47,27.54
2018-06-30,92.32,$3.21,28.76
2018-03-31,91.71,$3.39,27.05
2017-12-31,100.01,$3.37,29.68
2017-09-30,92.29,$4.84,19.07
2017-06-30,94.99,$4.72,20.13
2017-03-31,91.38,$4.64,19.69
2016-12-31,84.89,$4.36,19.47
2016-09-30,87.59,$4.56,19.21
2016-06-30,84.71,$3.55,23.86
2016-03-31,81.34,$3.50,23.24
2015-12-31,78.75,$3.67,21.46
2015-09-30,73.8,$3.37,21.9
2015-06-30,72.49,$4.33,16.74
2015-03-31,73.72,$4.29,17.18
2014-12-31,72.42,$4.27,16.96
2014-09-30,70.82,$4.52,15.67
2014-06-30,67.49,$4.43,15.23
2014-03-31,62.61,$4.42,14.16
2013-12-31,61.76,$4.32,14.3
2013-09-30,58.79,$4.26,13.8
2013-06-30,60.06,$4.24,14.16
2013-03-31,57.68,$3.90,14.79
2012-12-31,49.54,$3.92,12.64
2012-09-30,50.85,$3.75,13.56
2012-06-30,50.39,$3.79,13.3
2012-03-31,46.95,$4.02,11.68
2011-12-31,46.56,$4.02,11.58
2011-09-30,43.09,$3.98,10.83
2011-06-30,48.64,$3.92,12.41
2011-03-31,44.16,$3.73,11.84
2010-12-31,44.45,$3.91,11.37
2010-09-30,44.88,$3.96,11.33
2010-06-30,40.87,$3.86,10.59
2010-03-31,44.03,$3.94,11.18
2009-12-31,40.18,$3.77,10.66
