Intel PE Ratio Historical Data,Intel PE Ratio Historical Data,Intel PE Ratio Historical Data,Intel PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,30.72,,32.0
2024-03-31,43.99,$0.96,45.83
2023-12-31,49.9,$0.39,127.95
2023-09-30,35.19,$-0.40,0.0
2023-06-30,32.98,$-0.22,0.0
2023-03-31,32.09,$-0.68,0.0
2022-12-31,25.64,$1.96,13.08
2022-09-30,24.68,$3.25,7.59
2022-06-30,35.46,$4.67,7.59
2022-03-31,46.6,$6.02,7.74
2021-12-31,48.06,$4.86,9.89
2021-09-30,49.38,$5.15,9.59
2021-06-30,51.69,$4.50,11.49
2021-03-31,58.58,$4.45,13.16
2020-12-31,45.33,$4.94,9.18
2020-09-30,46.78,$5.10,9.17
2020-06-30,53.68,$5.20,10.32
2020-03-31,48.29,$5.39,8.96
2019-12-31,53.14,$5.13,10.36
2018-12-31,40.66,$4.48,9.08
2018-09-30,40.71,$3.21,12.68
2018-06-30,42.54,$2.77,15.36
2018-03-31,44.31,$2.30,19.27
2017-12-31,39.01,$1.98,19.7
2017-09-30,32.0,$2.86,11.19
2017-06-30,28.14,$2.61,10.78
2017-03-31,29.87,$2.30,12.98
2016-12-31,29.82,$2.43,12.27
2016-09-30,30.8,$2.34,13.16
2016-06-30,26.56,$2.20,12.07
2015-12-31,27.41,$2.34,11.71
2015-09-30,23.79,$2.34,10.17
2015-06-30,23.84,$2.12,11.24
2015-03-31,24.33,$2.23,10.91
2014-12-31,28.03,$2.37,11.83
2016-03-31,25.97,$2.01,12.92
2014-09-30,26.72,$2.10,12.72
2014-06-30,23.55,$2.02,11.66
2014-03-31,19.5,$1.86,10.49
2013-12-31,19.43,$1.88,10.33
2013-09-30,17.0,$1.85,9.19
2013-06-30,17.79,$1.85,9.62
2013-03-31,15.88,$2.00,7.94
2012-12-31,14.84,$2.13,6.97
2012-09-30,16.14,$2.29,7.05
2012-06-30,18.83,$2.36,7.98
2012-03-31,19.72,$2.36,8.35
2011-12-31,16.87,$2.39,7.06
2011-09-30,14.72,$2.34,6.29
2011-06-30,15.14,$2.21,6.85
2011-03-31,13.68,$2.18,6.28
2010-12-31,14.14,$2.05,6.9
2010-09-30,12.81,$1.86,6.89
2010-06-30,12.88,$2.69,4.79
2010-03-31,14.66,$2.51,5.84
2009-12-31,13.31,$2.01,6.62
2019-09-30,45.5,$1.72,26.46
2009-09-30,12.67,$1.29,9.82
2009-06-30,10.64,$1.83,5.81
