Honeywell PE Ratio Historical Data,Honeywell PE Ratio Historical Data,Honeywell PE Ratio Historical Data,Honeywell PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,199.69,,23.14
2024-03-31,204.18,$8.63,23.66
2023-12-31,207.49,$8.47,24.5
2023-09-30,181.72,$8.07,22.52
2023-06-30,203.0,$8.08,25.12
2023-03-31,185.99,$7.70,24.15
2022-12-31,207.45,$7.27,28.53
2022-09-30,160.84,$7.81,20.59
2022-06-30,166.6,$7.33,22.73
2022-03-31,185.57,$7.53,24.64
2021-12-31,197.79,$7.92,24.97
2021-09-30,200.5,$7.78,25.77
2021-06-30,206.35,$7.05,29.27
2021-03-31,203.35,$6.54,31.09
2020-12-31,198.36,$6.72,29.52
2020-09-30,152.79,$6.97,21.92
2020-06-30,133.45,$8.13,16.41
2020-03-31,122.62,$8.70,14.09
2019-12-31,161.31,$8.41,19.18
2019-09-30,153.43,$8.56,17.92
2019-06-30,158.32,$9.44,16.77
2019-03-31,143.4,$9.02,15.9
2018-12-31,118.58,$8.99,13.19
2018-09-30,143.9,$3.50,41.11
2018-06-30,123.97,$2.14,57.93
2018-03-31,123.74,$2.26,54.75
2017-12-31,130.68,$2.08,62.83
2017-09-30,120.17,$6.60,18.21
2017-06-30,112.47,$6.45,17.44
2017-03-31,104.83,$6.31,16.61
2016-12-31,96.74,$6.13,15.78
2016-09-30,96.24,$6.32,15.23
2016-06-30,95.52,$6.32,15.11
2016-03-31,91.54,$6.17,14.84
2015-12-31,84.13,$6.05,13.9
2015-09-30,76.47,$5.72,13.37
2015-06-30,81.95,$5.59,14.66
2015-03-31,83.42,$5.46,15.28
2014-12-31,79.51,$5.33,14.92
2014-09-30,73.71,$5.32,13.86
2014-06-30,73.23,$5.09,14.39
2014-03-31,72.71,$4.99,14.57
2013-12-31,71.28,$4.92,14.49
2013-09-30,64.45,$4.05,15.91
2013-06-30,61.28,$4.01,15.28
2013-03-31,57.89,$3.87,14.96
2012-12-31,48.48,$3.70,13.1
2012-09-30,45.33,$2.98,15.21
2012-06-30,42.09,$2.88,14.62
2012-03-31,45.72,$2.76,16.57
2011-12-31,40.2,$2.60,15.46
2011-09-30,32.25,$3.47,9.29
2011-06-30,43.45,$3.01,14.44
2011-03-31,43.3,$2.59,16.72
2010-12-31,38.33,$2.21,17.34
2010-09-30,31.48,$2.65,11.88
2010-06-30,27.77,$2.81,9.88
2010-03-31,31.99,$2.81,11.38
2009-12-31,27.49,$2.85,9.64
