CSX PE Ratio Historical Data,CSX PE Ratio Historical Data,CSX PE Ratio Historical Data,CSX PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,33.78,,18.56
2024-03-31,37.07,$1.82,20.37
2023-12-31,34.56,$1.84,18.78
2023-09-30,30.55,$1.88,16.25
2023-06-30,33.75,$1.98,17.05
2023-03-31,29.53,$2.03,14.55
2022-12-31,30.45,$1.97,15.46
2022-09-30,26.1,$1.91,13.67
2022-06-30,28.38,$1.91,14.86
2021-12-31,36.5,$1.68,21.73
2021-09-30,28.8,$1.59,18.11
2021-06-30,30.98,$1.55,19.98
2021-03-31,30.95,$1.35,22.92
2020-12-31,29.04,$1.26,23.11
2022-03-31,36.46,$1.26,28.94
2020-09-30,24.78,$1.20,20.65
2020-06-30,22.18,$1.24,17.89
2020-03-31,18.16,$1.38,13.12
2019-12-31,22.84,$1.39,16.44
2019-09-30,21.8,$1.40,15.61
2019-06-30,24.26,$1.39,17.49
2019-03-31,23.38,$1.36,17.15
2018-12-31,19.35,$1.28,15.08
2018-09-30,23.07,$2.49,9.28
2018-06-30,19.81,$2.31,8.59
2018-03-31,17.24,$2.15,8.01
2017-12-31,16.96,$2.02,8.38
2017-09-30,16.67,$0.65,25.77
2017-06-30,16.69,$0.64,26.22
2017-03-31,14.19,$0.61,23.26
2016-12-31,10.91,$0.60,18.08
2016-09-30,9.21,$0.60,15.36
2016-06-30,7.83,$0.61,12.77
2016-03-31,7.68,$0.64,11.93
2015-12-31,7.68,$0.68,11.24
2015-09-30,7.91,$0.69,11.41
2015-06-30,9.54,$0.70,13.69
2014-12-31,10.48,$0.64,16.3
2014-09-30,9.24,$0.62,14.9
2014-06-30,8.83,$0.60,14.72
2014-03-31,8.26,$0.58,14.32
2013-12-31,8.16,$0.62,13.23
2015-03-31,9.63,$0.63,15.36
2013-09-30,7.26,$0.62,11.71
2013-06-30,6.5,$0.61,10.6
2013-03-31,6.86,$0.60,11.38
2012-12-31,5.46,$0.60,9.16
2012-09-30,5.7,$0.60,9.56
2012-06-30,6.11,$0.59,10.3
2012-03-31,5.84,$0.58,10.02
2011-12-31,5.69,$0.56,10.2
2011-09-30,5.01,$0.54,9.26
2011-06-30,7.0,$0.52,13.52
2011-03-31,6.96,$0.48,14.4
2010-12-31,5.7,$0.45,12.61
2010-09-30,4.86,$0.41,11.82
2010-06-30,4.34,$0.37,11.62
2010-03-31,4.43,$0.34,12.99
2009-12-31,4.2,$0.32,12.99
