Trade Desk PE Ratio Historical Data,Trade Desk PE Ratio Historical Data,Trade Desk PE Ratio Historical Data,Trade Desk PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,94.75,,236.88
2024-03-31,87.42,$0.40,218.55
2023-12-31,71.96,$0.36,199.89
2023-09-30,78.15,$0.31,252.1
2023-06-30,77.22,$0.26,297.0
2023-03-31,60.91,$0.15,406.07
2022-12-31,44.83,$0.10,448.3
2022-09-30,59.75,$-0.02,0.0
2022-06-30,41.89,$0.07,598.43
2022-03-31,69.25,$0.21,329.76
2021-12-31,91.64,$0.29,321.54
2021-09-30,70.3,$0.57,123.33
2021-06-30,77.36,$0.53,144.87
2021-03-31,65.17,$0.49,134.09
2020-12-31,80.1,$0.49,163.14
2020-09-30,51.88,$0.29,177.66
2020-06-30,40.65,$0.25,163.91
2020-03-31,19.3,$0.25,75.98
2019-12-31,25.98,$0.23,115.46
2019-09-30,18.76,$0.20,92.39
2019-06-30,22.78,$0.21,110.04
2019-03-31,19.8,$0.19,103.1
2018-12-31,11.61,$0.19,60.76
2018-09-30,15.09,$0.15,104.08
2018-06-30,9.38,$0.12,75.65
2018-03-31,4.96,$0.12,40.02
2017-12-31,4.57,$0.12,39.77
2017-09-30,6.15,$0.10,60.9
2017-06-30,5.01,$0.08,59.65
