Intuitive Surgical PE Ratio Historical Data,Intuitive Surgical PE Ratio Historical Data,Intuitive Surgical PE Ratio Historical Data,Intuitive Surgical PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,404.85,,73.08
2024-03-31,399.09,$5.54,72.04
2023-12-31,337.36,$5.03,67.07
2023-09-30,292.29,$4.25,68.77
2023-06-30,341.94,$3.99,85.7
2023-03-31,255.47,$3.66,69.8
2022-12-31,265.35,$3.66,72.5
2022-09-30,187.44,$3.79,49.46
2022-06-30,200.71,$3.93,51.07
2022-03-31,301.68,$4.50,67.09
2021-12-31,359.3,$4.67,76.99
2021-09-30,331.38,$4.63,71.52
2021-06-30,306.55,$4.46,68.73
2021-03-31,246.31,$3.23,76.18
2020-12-31,272.7,$2.94,92.86
2020-09-30,236.51,$2.93,80.81
2020-06-30,189.94,$3.17,59.92
2020-03-31,165.07,$3.87,42.65
2019-12-31,197.05,$3.85,51.18
2019-09-30,179.98,$3.67,49.04
2019-06-30,174.85,$3.38,51.78
2019-03-31,190.19,$3.20,59.37
2018-12-31,159.64,$3.16,50.46
2018-09-30,191.33,$2.23,85.8
2018-06-30,159.49,$2.26,70.47
2018-03-31,137.61,$2.19,62.9
2017-12-31,121.65,$1.89,64.25
2017-09-30,116.21,$2.58,45.04
2017-06-30,103.93,$2.32,44.8
2017-03-31,85.16,$2.20,38.67
2016-12-31,70.46,$2.08,33.93
2016-09-30,80.54,$2.06,39.08
2016-06-30,73.49,$1.96,37.5
2016-03-31,66.78,$1.83,36.45
2015-12-31,60.68,$1.72,35.19
2015-09-30,51.03,$1.61,31.74
2015-06-30,53.83,$1.49,36.1
2015-03-31,56.11,$1.40,39.98
2014-12-31,58.77,$1.24,47.27
2014-09-30,51.31,$1.28,40.05
2014-06-30,45.76,$1.35,33.84
2014-03-31,48.67,$1.48,32.93
2013-12-31,42.68,$1.86,22.96
2013-09-30,41.81,$1.86,22.53
2013-06-30,56.24,$1.91,29.48
2013-03-31,54.58,$1.89,28.86
2012-12-31,54.49,$1.77,30.72
2012-09-30,55.07,$1.72,32.06
2012-06-30,61.53,$1.56,39.41
2012-03-31,60.19,$1.47,41.01
2011-12-31,51.45,$1.37,37.64
2011-09-30,40.48,$1.29,31.48
2011-06-30,41.35,$1.18,34.91
2011-03-31,37.05,$1.10,33.55
2010-12-31,28.64,$1.05,27.22
2010-09-30,31.53,$0.93,33.78
2010-06-30,35.07,$0.88,39.95
2010-03-31,38.68,$0.81,47.49
2009-12-31,33.71,$0.66,51.17
