Apple PE Ratio Historical Data,Apple PE Ratio Historical Data,Apple PE Ratio Historical Data,Apple PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,189.98,,29.55
2024-03-31,171.25,$6.43,26.63
2023-12-31,192.02,$6.42,29.91
2023-09-30,170.54,$6.12,27.87
2023-06-30,192.95,$5.95,32.43
2023-03-31,163.81,$5.89,27.81
2022-12-31,128.87,$5.89,21.88
2022-09-30,136.85,$6.11,22.4
2022-06-30,135.19,$6.06,22.31
2022-03-31,172.41,$6.16,27.99
2021-12-31,175.11,$6.04,28.99
2021-09-30,139.33,$5.62,24.79
2021-06-30,134.66,$5.11,26.35
2021-03-31,119.9,$4.46,26.91
2020-12-31,130.05,$3.69,35.22
2020-09-30,113.31,$3.26,34.76
2020-06-30,89.07,$3.29,27.09
2020-03-31,61.92,$3.19,19.43
2019-12-31,71.33,$3.17,22.54
2019-09-30,54.25,$2.96,18.31
2019-06-30,47.75,$2.93,16.28
2019-03-31,45.65,$2.97,15.36
2018-12-31,37.75,$3.04,12.42
2018-09-30,53.83,$2.97,18.14
2018-06-30,43.99,$2.76,15.95
2018-03-31,39.72,$2.59,15.34
2017-12-31,39.9,$2.43,16.4
2017-09-30,36.21,$2.30,15.74
2017-06-30,33.7,$2.20,15.32
2017-03-31,33.48,$2.14,15.66
2016-12-31,26.87,$2.09,12.87
2016-09-30,26.1,$2.07,12.62
2016-06-30,21.95,$2.14,10.26
2016-03-31,24.87,$2.25,11.07
2015-12-31,23.89,$2.36,10.15
2015-09-30,24.85,$2.30,10.8
2015-06-30,28.22,$2.17,13.03
2015-03-31,27.88,$2.02,13.78
2014-12-31,24.64,$1.86,13.28
2014-09-30,22.39,$1.61,13.92
2014-06-30,20.55,$1.55,13.28
2014-03-31,16.86,$1.49,11.28
2013-12-31,17.52,$1.44,12.17
2013-09-30,14.8,$1.42,10.46
2013-06-30,12.23,$1.43,8.55
2013-03-31,13.56,$1.50,9.06
2012-12-31,16.21,$1.58,10.29
2012-09-30,20.23,$1.58,12.82
2012-06-30,17.63,$1.52,11.6
2012-03-31,18.1,$1.46,12.36
2011-12-31,12.23,$1.25,9.75
2011-09-30,11.51,$0.99,11.65
2011-06-30,10.13,$0.90,11.23
2011-03-31,10.52,$0.75,14.04
2010-12-31,9.74,$0.64,15.23
2010-09-30,8.57,$0.54,15.83
2010-06-30,7.59,$0.44,17.24
2010-03-31,7.1,$0.36,19.53
2009-12-31,6.36,$0.31,20.57
