PayPal Holdings PE Ratio Historical Data,PayPal Holdings PE Ratio Historical Data,PayPal Holdings PE Ratio Historical Data,PayPal Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,61.64,,15.53
2024-03-31,66.99,$3.97,16.87
2023-12-31,61.41,$3.84,15.99
2023-09-30,58.46,$3.36,17.4
2023-06-30,66.73,$3.58,18.64
2023-03-31,75.94,$2.37,32.04
2022-12-31,71.22,$2.10,33.91
2022-09-30,86.07,$1.97,43.69
2022-06-30,69.84,$1.74,40.14
2022-03-31,115.65,$3.03,38.17
2021-12-31,188.58,$3.52,53.57
2021-09-30,260.21,$4.16,62.55
2021-06-30,291.48,$4.10,71.09
2021-03-31,242.84,$4.39,55.32
2020-12-31,234.2,$3.54,66.16
2020-09-30,197.03,$2.65,74.35
2020-06-30,174.23,$2.18,79.92
2020-03-31,95.74,$1.58,60.59
2019-12-31,108.17,$2.07,52.26
2019-09-30,103.59,$2.13,48.63
2019-06-30,114.46,$2.10,54.5
2019-03-31,103.84,$1.85,56.13
2018-12-31,84.09,$1.71,49.18
2018-09-30,87.84,$1.72,51.07
2018-06-30,83.27,$1.67,49.86
2018-03-31,75.87,$1.57,48.32
2017-12-31,73.62,$1.47,50.08
2017-09-30,64.03,$1.29,49.64
2017-06-30,53.67,$1.25,42.94
2017-03-31,43.02,$1.18,36.46
2016-12-31,39.47,$1.16,34.03
2016-09-30,40.97,$1.14,35.94
2016-06-30,36.51,$1.12,32.6
