American Electric Power PE Ratio Historical Data,American Electric Power PE Ratio Historical Data,American Electric Power PE Ratio Historical Data,American Electric Power PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,88.97,,16.51
2024-03-31,85.27,$5.39,15.82
2023-12-31,79.52,$4.25,18.71
2023-09-30,72.82,$4.36,16.7
2023-06-30,80.68,$3.86,20.9
2023-03-31,86.4,$3.87,22.33
2022-12-31,89.32,$4.51,19.81
2022-09-30,80.56,$4.83,16.68
2022-06-30,88.72,$5.09,17.43
2022-03-31,91.54,$5.23,17.5
2021-12-31,80.93,$4.98,16.25
2021-09-30,73.16,$4.79,15.27
2021-06-30,75.6,$4.71,16.05
2021-03-31,75.06,$4.60,16.32
2020-12-31,73.11,$4.44,16.47
2020-09-30,71.18,$3.87,18.39
2020-06-30,68.8,$3.85,17.87
2020-03-31,68.49,$3.73,18.36
2019-12-31,80.37,$3.89,20.66
2019-09-30,79.06,$4.32,18.3
2019-06-30,73.71,$4.00,18.43
2019-03-31,69.58,$4.14,16.81
2018-12-31,61.58,$3.90,15.79
2018-09-30,57.87,$3.97,14.58
2018-06-30,56.05,$3.90,14.37
2018-03-31,55.0,$3.59,15.32
2017-12-31,58.43,$3.87,15.1
2017-09-30,55.33,$3.82,14.48
2017-06-30,54.27,$1.16,46.79
2017-03-31,51.99,$1.42,36.61
2016-12-31,48.31,$1.24,38.96
2016-09-30,48.82,$1.44,33.9
2016-06-30,52.85,$4.06,13.02
2016-03-31,49.64,$3.92,12.66
2015-12-31,43.17,$4.19,10.3
2015-09-30,41.69,$3.62,11.52
2015-06-30,38.48,$3.57,10.78
2015-03-31,40.47,$3.49,11.6
2014-12-31,43.3,$3.35,12.93
2014-09-30,36.89,$3.67,10.05
2014-06-30,39.01,$3.55,10.99
2014-03-31,35.11,$3.44,10.21
2013-12-31,32.06,$3.04,10.54
2013-09-30,29.42,$2.38,12.36
2013-06-30,30.06,$2.49,12.07
2013-03-31,32.33,$2.55,12.68
2012-12-31,28.08,$2.60,10.8
2012-09-30,28.59,$3.19,8.96
2012-06-30,25.68,$4.12,6.23
2012-03-31,24.52,$4.10,5.98
2011-12-31,25.95,$4.03,6.44
2011-09-30,23.6,$3.76,6.28
2011-06-30,23.08,$2.99,7.72
2011-03-31,21.25,$2.54,8.37
2010-12-31,21.48,$2.53,8.49
2010-09-30,21.37,$2.66,8.03
2010-06-30,18.83,$2.43,7.75
2010-03-31,19.67,$2.82,6.97
2009-12-31,19.77,$2.99,6.61
