Cadence Design Systems PE Ratio Historical Data,Cadence Design Systems PE Ratio Historical Data,Cadence Design Systems PE Ratio Historical Data,Cadence Design Systems PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,294.28,,76.64
2024-03-31,311.28,$3.84,81.06
2023-12-31,272.37,$3.82,71.3
2023-09-30,234.3,$3.51,66.75
2023-06-30,234.52,$3.26,71.94
2023-03-31,210.09,$3.13,67.12
2022-12-31,160.64,$3.09,51.99
2022-09-30,163.43,$2.84,57.55
2022-06-30,150.03,$2.79,53.77
2022-03-31,164.46,$2.67,61.6
2021-12-31,186.35,$2.49,74.84
2021-09-30,151.44,$2.48,61.06
2021-06-30,136.82,$2.43,56.3
2021-03-31,136.99,$2.34,58.54
2020-12-31,136.43,$2.11,64.66
2020-09-30,106.63,$3.85,27.7
2020-06-30,95.96,$3.63,26.44
2020-03-31,66.04,$3.54,18.66
2019-12-31,69.36,$3.53,19.65
2019-09-30,66.08,$1.52,43.47
2019-06-30,70.81,$1.51,46.89
2019-03-31,63.51,$1.40,45.36
2018-12-31,43.48,$1.23,35.35
2018-09-30,45.32,$0.83,54.6
2018-06-30,43.31,$0.77,56.25
2018-03-31,36.77,$0.75,49.03
2017-12-31,41.82,$0.63,66.38
2017-09-30,39.47,$0.91,43.37
2017-03-31,31.4,$0.79,39.75
2016-12-31,25.22,$0.71,35.52
2016-09-30,25.53,$0.83,30.76
2016-06-30,24.3,$0.85,28.59
2016-03-31,23.58,$0.93,25.35
2015-12-31,20.81,$0.95,21.91
2017-06-30,33.49,$0.81,41.35
2015-09-30,20.68,$0.77,26.86
2015-06-30,19.66,$0.64,30.72
2015-03-31,18.44,$0.53,34.79
2014-12-31,18.97,$0.52,36.48
2014-09-30,17.21,$0.44,39.11
2014-06-30,17.49,$0.45,38.87
2014-03-31,15.54,$0.40,38.85
2013-12-31,14.02,$0.56,25.04
2013-09-30,13.51,$1.53,8.83
2013-06-30,14.48,$1.61,8.99
2013-03-31,13.93,$1.71,8.15
2012-12-31,13.51,$1.55,8.72
2012-09-30,12.87,$0.49,26.26
2012-06-30,10.99,$0.38,28.92
2012-03-31,11.84,$0.35,33.83
2011-12-31,10.4,$0.26,40.0
2011-09-30,9.24,$0.14,66.0
2011-06-30,10.56,$0.52,20.31
2011-03-31,9.75,$0.61,15.98
2010-12-31,8.26,$0.60,13.77
2010-09-30,7.63,$0.63,12.11
2010-06-30,5.79,$-0.14,0.0
2009-12-31,5.99,$-0.58,0.0
2009-09-30,7.34,$-0.63,0.0
