Alphabet PE Ratio Historical Data,Alphabet PE Ratio Historical Data,Alphabet PE Ratio Historical Data,Alphabet PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,176.33,,27.04
2024-03-31,152.26,$6.52,23.35
2023-12-31,140.93,$5.68,24.81
2023-09-30,131.85,$5.10,25.85
2023-06-30,120.97,$4.76,25.41
2022-12-31,88.73,$4.55,19.5
2022-09-30,96.15,$5.04,19.09
2022-06-30,109.37,$5.15,21.26
2022-03-31,139.65,$5.34,26.18
2021-12-31,144.68,$5.47,26.46
2023-03-31,104.0,$5.25,19.82
2021-09-30,133.27,$5.19,25.67
2021-06-30,125.32,$4.61,27.17
2021-03-31,103.43,$3.76,27.54
2020-12-31,87.59,$2.94,29.84
2020-09-30,73.48,$2.59,28.4
2020-06-30,70.68,$2.27,31.09
2020-03-31,58.14,$2.48,23.47
2019-12-31,66.85,$2.46,27.19
2019-09-30,60.95,$2.33,26.16
2019-06-30,54.05,$2.48,21.82
2019-03-31,58.67,$1.99,29.43
2018-12-31,51.78,$2.19,23.7
2018-09-30,59.67,$1.33,44.9
2018-06-30,55.78,$1.15,48.32
2018-03-31,51.59,$1.18,43.79
2017-12-31,52.32,$0.90,58.26
2017-09-30,47.96,$1.49,32.11
2017-06-30,45.44,$1.38,32.98
2017-03-31,41.48,$1.48,28.08
2016-12-31,38.59,$1.44,26.73
2016-09-30,38.86,$1.35,28.75
2016-06-30,34.61,$1.24,28.0
2015-12-31,37.94,$1.15,33.11
2015-09-30,30.42,$1.14,26.74
2015-06-30,26.03,$1.15,22.59
2015-03-31,27.4,$1.11,24.7
2014-12-31,26.32,$1.10,23.97
2016-03-31,37.25,$1.01,37.06
