Paychex PE Ratio Historical Data,Paychex PE Ratio Historical Data,Paychex PE Ratio Historical Data,Paychex PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,124.23,,27.07
2024-02-29,121.64,$4.59,26.5
2023-11-30,120.12,$4.50,26.69
2023-08-31,119.44,$4.41,27.08
2023-05-31,101.81,$4.30,23.68
2023-02-28,106.24,$4.15,25.6
2022-11-30,118.55,$4.05,29.27
2022-08-31,117.1,$3.97,29.5
2022-05-31,116.87,$3.84,30.43
2022-02-28,111.62,$3.75,29.77
2021-11-30,111.12,$3.53,31.48
2021-08-31,106.14,$3.37,31.49
2021-05-31,93.24,$3.04,30.67
2021-02-28,83.4,$2.92,28.56
2020-11-30,84.7,$2.93,28.91
2020-08-31,69.01,$2.90,23.8
2020-05-31,64.68,$3.04,21.27
2020-02-29,68.65,$3.07,22.36
2019-11-30,75.76,$2.99,25.34
2019-08-31,71.34,$2.92,24.43
2019-05-31,74.36,$2.86,26.0
2019-02-28,66.27,$2.85,23.25
2018-11-30,60.41,$2.67,22.62
2018-08-31,62.0,$2.62,23.67
2018-05-31,55.06,$2.58,21.34
2018-02-28,54.19,$2.49,21.76
2017-11-30,55.6,$2.33,23.86
2017-08-31,46.74,$2.29,20.41
2017-05-31,48.13,$2.26,21.3
2017-02-28,49.52,$2.21,22.41
2016-11-30,47.17,$2.15,21.94
2016-08-31,48.14,$2.11,22.82
2016-05-31,42.69,$2.09,20.43
2016-02-29,40.13,$2.04,19.67
2015-11-30,41.99,$2.00,20.99
2015-08-31,34.29,$1.95,17.58
2015-05-31,37.59,$1.84,20.43
2015-02-28,37.62,$1.80,20.9
2014-11-30,35.5,$1.78,19.94
2014-08-31,30.93,$1.74,17.78
2014-05-31,30.26,$1.71,17.69
2014-02-28,30.47,$1.65,18.47
2013-11-30,31.65,$1.61,19.66
2013-08-31,27.76,$1.59,17.46
2013-05-31,26.48,$1.57,16.87
2013-02-28,23.55,$1.57,15.0
2012-11-30,22.7,$1.54,14.74
2012-08-31,22.96,$1.52,15.11
2012-05-31,20.49,$1.51,13.57
2012-02-29,21.18,$1.50,14.12
2011-11-30,19.5,$1.49,13.09
2011-08-31,17.88,$1.47,12.16
2011-05-31,21.17,$1.42,14.91
2011-02-28,21.84,$1.41,15.49
2010-11-30,18.35,$1.36,13.49
2010-08-31,15.83,$1.34,11.81
2010-05-31,17.93,$1.32,13.59
2010-02-28,18.63,$1.32,14.11
2009-11-30,19.3,$1.37,14.09
