HudBay Minerals Inc PE Ratio Historical Data,HudBay Minerals Inc PE Ratio Historical Data,HudBay Minerals Inc PE Ratio Historical Data,HudBay Minerals Inc PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,9.21,,40.04
2024-06-30,9.04,$0.23,39.29
2024-03-31,6.99,$0.23,30.39
2023-12-31,5.51,$0.20,27.53
2023-09-30,4.86,$0.03,161.92
2023-06-30,4.78,$-0.13,0.0
2023-03-31,5.23,$0.04,130.72
2022-12-31,5.04,$0.26,19.39
2022-09-30,4.01,$0.29,13.82
2022-06-30,4.05,$-0.33,0.0
2022-03-31,7.79,$-0.46,0.0
2021-12-31,7.19,$-0.93,0.0
2021-09-30,6.18,$-0.86,0.0
2021-06-30,6.6,$-0.30,0.0
2021-03-31,6.8,$-0.49,0.0
2020-12-31,6.93,$-0.55,0.0
2020-09-30,4.18,$-0.59,0.0
2020-06-30,2.99,$-1.55,0.0
2020-03-31,1.88,$-1.56,0.0
2019-12-31,4.08,$-1.32,0.0
2019-09-30,3.55,$-1.32,0.0
2019-06-30,5.31,$-0.18,0.0
2019-03-31,7.01,$0.12,58.4
2018-12-31,4.63,$0.33,14.02
2018-09-30,4.95,$0.72,6.88
2018-06-30,5.48,$0.80,6.85
2018-03-31,6.95,$0.82,8.47
2017-12-31,8.6,$0.65,13.24
2017-09-30,7.28,$0.07,104.05
2017-06-30,5.62,$0.04,140.41
2017-03-31,6.4,$-0.09,0.0
2016-12-31,5.56,$-0.15,0.0
2016-09-30,3.86,$-1.04,0.0
2016-06-30,4.66,$-1.23,0.0
2016-03-31,3.58,$-1.41,0.0
2015-12-31,3.71,$-1.42,0.0
2015-09-30,3.58,$-0.16,0.0
2015-06-30,8.08,$0.09,89.83
2015-03-31,7.94,$0.29,27.38
2014-12-31,8.42,$0.24,35.06
2014-09-30,8.3,$-0.22,0.0
2014-06-30,9.0,$-0.39,0.0
2014-03-31,7.55,$-0.71,0.0
2013-12-31,7.92,$-0.57,0.0
2013-09-30,7.96,$-0.24,0.0
2013-06-30,6.38,$-0.30,0.0
2013-03-31,9.28,$-0.16,0.0
2012-12-31,9.63,$-0.12,0.0
2012-09-30,9.42,$0.05,188.42
2012-06-30,7.29,$-0.15,0.0
2012-03-31,10.37,$0.14,74.08
2011-12-31,9.34,$0.25,37.35
2011-09-30,8.96,$0.12,74.68
2011-03-31,15.18,$0.43,35.3
2010-12-31,16.88,$0.47,35.91
2010-09-30,13.07,$0.35,37.34
2010-06-30,9.72,$-0.71,0.0
