Watsco PE Ratio Historical Data,Watsco PE Ratio Historical Data,Watsco PE Ratio Historical Data,Watsco PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,504.72,,38.62
2024-06-30,458.34,$13.07,35.07
2024-03-31,424.66,$13.00,32.67
2023-12-31,418.67,$13.66,30.65
2023-09-30,366.73,$15.15,24.21
2023-06-30,367.9,$14.83,24.81
2023-03-31,304.45,$15.34,19.85
2022-12-31,236.55,$15.41,15.35
2022-09-30,241.99,$13.88,17.43
2022-06-30,222.51,$13.47,16.52
2022-03-31,281.73,$12.25,23.0
2021-12-31,287.49,$10.74,26.77
2021-09-30,241.48,$9.86,24.49
2021-06-30,259.81,$9.00,28.87
2021-03-31,234.69,$7.55,31.08
2020-12-31,202.36,$6.88,29.41
2020-09-30,206.49,$6.66,31.0
2020-06-30,156.11,$6.10,25.59
2020-03-31,137.25,$6.24,22.0
2019-12-31,155.05,$6.40,24.23
2019-09-30,144.25,$6.50,22.19
2019-06-30,138.06,$6.41,21.54
2019-03-31,119.58,$6.41,18.66
2018-12-31,114.89,$6.42,17.9
2018-09-30,145.77,$6.59,22.12
2018-06-30,144.75,$6.30,22.98
2018-03-31,145.78,$5.97,24.42
2017-12-31,136.0,$5.79,23.49
2017-09-30,127.83,$5.41,23.63
2017-06-30,121.37,$5.37,22.6
2017-03-31,111.87,$5.12,21.85
2016-12-31,114.91,$5.12,22.44
2016-09-30,108.49,$5.06,21.44
2016-06-30,107.67,$4.92,21.88
2016-03-31,102.47,$4.95,20.7
2015-12-31,88.39,$4.89,18.08
2015-09-30,88.92,$4.83,18.41
2015-06-30,92.35,$4.75,19.44
2015-03-31,93.29,$4.50,20.73
2014-12-31,78.89,$4.33,18.22
2014-09-30,63.1,$4.14,15.24
2014-06-30,74.78,$3.90,19.18
2014-03-31,72.41,$3.78,19.16
2013-12-31,69.33,$3.69,18.79
2013-09-30,67.75,$3.23,20.97
2013-06-30,60.17,$3.10,19.41
2013-03-31,60.15,$2.77,21.71
2012-12-31,53.34,$2.61,20.44
2012-09-30,50.33,$2.96,17.0
2012-06-30,48.61,$2.79,17.42
2012-03-31,48.35,$2.73,17.71
2011-12-31,42.5,$2.71,15.68
2011-09-30,32.76,$2.63,12.46
2011-06-30,43.21,$2.58,16.75
2011-03-31,43.95,$2.57,17.1
2010-12-31,39.44,$2.46,16.03
2010-09-30,34.5,$2.36,14.62
2010-06-30,35.58,$2.05,17.36
2010-03-31,34.63,$1.53,22.64
2009-12-31,29.54,$1.39,21.25
