TopBuild PE Ratio Historical Data,TopBuild PE Ratio Historical Data,TopBuild PE Ratio Historical Data,TopBuild PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,409.22,,21.05
2024-06-30,385.27,$19.44,19.82
2024-03-31,440.73,$19.84,22.21
2023-12-31,374.26,$19.33,19.36
2023-09-30,251.6,$19.25,13.07
2023-06-30,266.02,$18.74,14.2
2023-03-31,208.14,$17.97,11.58
2022-12-31,156.49,$17.16,9.12
2022-09-30,164.78,$15.01,10.98
2022-06-30,167.16,$13.13,12.73
2022-03-31,181.39,$11.44,15.86
2021-12-31,275.91,$9.77,28.24
2021-09-30,204.81,$9.53,21.49
2021-06-30,197.78,$8.76,22.58
2021-03-31,209.43,$7.71,27.16
2020-12-31,184.08,$7.42,24.81
2020-09-30,170.69,$6.65,25.67
2020-06-30,113.77,$6.14,18.53
2020-03-31,71.64,$5.98,11.98
2019-12-31,103.08,$5.56,18.54
2019-09-30,96.43,$5.30,18.19
2019-06-30,82.76,$4.89,16.92
2019-03-31,64.82,$4.14,15.66
2018-12-31,45.0,$3.79,11.87
2018-09-30,56.82,$5.62,10.11
2018-06-30,78.34,$5.31,14.75
2018-03-31,76.52,$5.18,14.77
2017-12-31,75.74,$4.39,17.25
2017-09-30,65.17,$2.03,32.1
2017-06-30,53.07,$1.80,29.48
2017-03-31,47.0,$1.58,29.75
2016-12-31,35.6,$1.92,18.54
2016-09-30,33.2,$2.92,11.37
2016-06-30,36.2,$2.71,13.36
