Northern Oil And Gas PE Ratio Historical Data,Northern Oil And Gas PE Ratio Historical Data,Northern Oil And Gas PE Ratio Historical Data,Northern Oil And Gas PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,37.84,,5.1
2024-06-30,36.73,$7.42,4.95
2023-12-31,35.88,$10.04,3.57
2023-09-30,38.54,$7.77,4.96
2023-06-30,32.57,$7.60,4.29
2023-03-31,28.49,$12.49,2.28
2022-12-31,28.61,$11.25,2.54
2024-03-31,38.8,$6.70,5.79
2022-09-30,25.19,$8.72,2.89
2022-06-30,23.01,$2.08,11.06
2022-03-31,25.51,$-2.21,0.0
2021-12-31,18.53,$-1.02,0.0
2021-09-30,19.19,$-6.36,0.0
2021-06-30,18.59,$-11.93,0.0
2021-03-31,10.79,$-32.08,0.0
2020-12-31,7.83,$-22.95,0.0
2020-09-30,5.13,$-22.44,0.0
2020-06-30,7.5,$-14.60,0.0
2020-03-31,5.92,$8.30,0.71
2019-12-31,20.91,$-2.00,0.0
2019-09-30,17.51,$6.50,2.69
2019-06-30,17.24,$4.70,3.67
2019-03-31,24.48,$-1.40,0.0
2018-12-31,20.19,$2.00,10.1
2018-09-30,35.74,$-7.50,0.0
2018-06-30,28.15,$-10.70,0.0
2018-03-31,17.69,$-3.60,0.0
2017-12-31,18.32,$-1.40,0.0
2017-09-30,8.04,$0.30,26.81
2017-06-30,12.51,$-4.50,0.0
2017-03-31,23.23,$-24.30,0.0
2016-12-31,24.57,$-47.80,0.0
2016-09-30,23.95,$-74.20,0.0
2016-06-30,41.28,$-120.10,0.0
2016-03-31,35.65,$-143.70,0.0
2015-12-31,34.49,$-160.80,0.0
2015-09-30,39.49,$-115.30,0.0
2015-06-30,60.49,$-52.50,0.0
2015-03-31,68.89,$-12.00,0.0
2014-12-31,50.48,$27.00,1.87
2014-09-30,127.06,$12.70,10.0
2014-06-30,145.55,$3.50,41.59
2014-03-31,130.63,$8.10,16.13
2013-12-31,134.65,$8.40,16.03
2013-09-30,128.93,$8.70,14.82
2013-06-30,119.19,$8.40,14.19
2013-03-31,128.49,$11.50,11.17
2012-12-31,150.29,$11.50,13.07
2012-09-30,151.81,$8.20,18.51
2012-06-30,142.43,$12.80,11.13
2012-03-31,185.32,$9.10,20.36
2011-12-31,214.27,$6.60,32.46
2011-09-30,173.25,$6.50,26.65
2011-06-30,197.91,$2.10,94.24
2011-03-31,238.57,$-0.00,0.0
2010-12-31,243.13,$1.50,162.08
2010-09-30,151.36,$2.10,72.08
2010-06-30,114.73,$2.30,49.88
2010-03-31,141.62,$1.20,118.02
2009-12-31,105.79,$0.70,151.13
