Lincoln Electric Holdings PE Ratio Historical Data,Lincoln Electric Holdings PE Ratio Historical Data,Lincoln Electric Holdings PE Ratio Historical Data,Lincoln Electric Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,198.22,,22.45
2024-06-30,187.95,$8.83,21.28
2024-03-31,253.54,$9.42,26.92
2023-12-31,215.26,$9.37,22.97
2023-09-30,179.37,$8.54,21.0
2023-06-30,195.3,$8.19,23.85
2023-03-31,165.73,$8.01,20.69
2022-12-31,141.07,$8.05,17.52
2022-09-30,122.21,$7.43,16.45
2022-06-30,119.39,$6.09,19.6
2022-03-31,132.77,$5.51,24.1
2021-12-31,133.83,$4.61,29.03
2021-09-30,123.08,$4.44,27.72
2021-06-30,125.39,$4.88,25.69
2021-03-31,116.59,$3.73,31.26
2020-12-31,109.79,$3.41,32.2
2020-09-30,86.55,$3.36,25.76
2020-06-30,78.79,$3.56,22.13
2020-03-31,64.16,$4.47,14.35
2019-12-31,89.32,$4.68,19.08
2019-09-30,79.71,$5.00,15.94
2019-06-30,75.22,$4.90,15.35
2019-03-31,76.19,$4.58,16.64
2018-12-31,71.23,$4.38,16.26
2018-09-30,83.9,$3.39,24.75
2018-06-30,78.47,$3.91,20.07
2018-03-31,80.07,$3.79,21.13
2017-12-31,81.16,$3.71,21.88
2017-09-30,80.91,$4.16,19.45
2017-06-30,80.96,$3.46,23.4
2017-03-31,76.08,$2.99,25.44
2016-12-31,66.88,$2.91,22.98
2016-09-30,54.37,$2.78,19.56
2016-06-30,51.04,$1.07,47.7
2016-03-31,50.32,$1.56,32.26
2015-12-31,44.33,$1.69,26.23
2015-09-30,44.52,$1.97,22.6
2015-06-30,51.42,$3.36,15.3
2015-03-31,54.97,$3.38,16.26
2014-12-31,57.82,$3.18,18.18
2014-09-30,57.62,$3.29,17.51
2014-06-30,58.05,$3.52,16.49
2014-03-31,59.62,$3.43,17.38
2013-12-31,58.88,$3.54,16.63
2013-09-30,54.81,$3.21,17.07
2013-06-30,46.97,$3.18,14.77
2013-03-31,44.28,$3.10,14.28
2012-12-31,39.64,$3.06,12.96
2012-09-30,31.67,$3.00,10.56
2012-06-30,35.36,$2.89,12.23
2012-03-31,36.47,$2.78,13.12
2011-12-31,31.34,$2.58,12.17
2011-09-30,23.14,$2.39,9.7
2011-06-30,28.45,$2.11,13.51
2011-03-31,29.99,$1.81,16.61
2010-12-31,25.67,$1.53,16.83
2010-09-30,22.64,$1.32,17.15
2010-06-30,19.87,$1.09,18.22
2010-03-31,21.06,$0.89,23.79
2009-12-31,20.61,$0.57,36.16
