Golub Capital BDC PE Ratio Historical Data,Golub Capital BDC PE Ratio Historical Data,Golub Capital BDC PE Ratio Historical Data,Golub Capital BDC PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,15.44,,9.36
2024-06-30,15.21,$1.65,9.22
2024-03-31,15.63,$2.03,7.7
2023-12-31,13.78,$1.82,7.57
2023-09-30,12.99,$1.52,8.55
2023-06-30,11.63,$0.97,11.99
2023-03-31,11.39,$0.63,18.08
2022-12-31,10.79,$0.68,15.87
2022-09-30,9.91,$0.90,11.01
2022-06-30,10.14,$1.27,7.99
2022-03-31,11.65,$1.67,6.98
2021-12-31,11.6,$1.83,6.34
2021-09-30,11.65,$2.02,5.77
2021-06-30,11.15,$2.17,5.14
2021-03-31,10.38,$2.61,3.98
2020-12-31,9.85,$0.35,28.13
2020-09-30,9.03,$0.14,64.49
2020-06-30,7.77,$-1.45,0.0
2020-03-31,8.19,$-2.06,0.0
2019-12-31,11.8,$-0.06,0.0
2019-09-30,11.75,$-0.10,0.0
2019-06-30,10.91,$1.18,9.25
2019-03-31,10.76,$1.22,8.82
2018-12-31,9.75,$1.32,7.39
2018-09-30,10.82,$1.37,7.9
2018-06-30,10.38,$1.49,6.97
2018-03-31,9.98,$1.44,6.93
2017-12-31,9.97,$1.43,6.97
2017-09-30,10.1,$1.37,7.37
2017-06-30,10.09,$1.34,7.53
2017-03-31,10.32,$1.31,7.88
2016-09-30,9.2,$1.33,6.92
2016-06-30,8.8,$1.41,6.24
2016-03-31,8.28,$1.42,5.83
2015-12-31,7.81,$1.48,5.27
2015-09-30,7.36,$1.46,5.04
2015-06-30,7.49,$1.40,5.35
2016-12-31,9.39,$1.47,6.39
2015-03-31,7.79,$1.48,5.26
2014-12-31,7.81,$1.42,5.5
2014-09-30,6.82,$1.44,4.73
2014-06-30,7.42,$1.35,5.5
2014-03-31,7.35,$1.38,5.32
2013-12-31,7.74,$1.38,5.61
2013-06-30,6.83,$1.38,4.95
2013-03-31,6.33,$1.25,5.07
2012-12-31,6.01,$1.35,4.45
2012-09-30,5.86,$1.31,4.47
2012-06-30,5.45,$1.28,4.26
2012-03-31,5.4,$1.21,4.46
2011-12-31,5.36,$1.04,5.16
2013-09-30,6.89,$1.08,6.38
2011-09-30,5.03,$1.11,4.54
2011-06-30,4.96,$1.32,3.75
2011-03-31,5.13,$1.30,3.94
