Element Solutions PE Ratio Historical Data,Element Solutions PE Ratio Historical Data,Element Solutions PE Ratio Historical Data,Element Solutions PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,25.52,,31.51
2024-06-30,27.04,$0.81,33.38
2024-03-31,24.91,$0.54,46.12
2023-12-31,22.99,$0.49,46.92
2023-09-30,19.41,$0.22,88.23
2023-06-30,18.93,$0.57,33.21
2023-03-31,18.96,$0.71,26.7
2022-12-31,17.79,$0.76,23.4
2022-09-30,15.84,$0.72,22.01
2022-06-30,17.26,$0.65,26.55
2022-03-31,21.16,$0.72,29.38
2021-12-31,23.38,$0.82,28.51
2021-09-30,20.8,$0.93,22.37
2021-06-30,22.38,$0.93,24.06
2021-03-31,17.46,$0.61,28.62
2020-12-31,16.88,$0.31,54.45
2020-09-30,9.97,$0.48,20.77
2020-06-30,10.29,$0.30,34.31
2020-03-31,7.93,$0.30,26.44
2019-12-31,11.08,$0.36,30.78
2019-09-30,9.66,$0.19,50.83
2019-06-30,9.81,$-1.20,0.0
2019-03-31,9.58,$-1.17,0.0
2018-12-31,9.8,$-1.13,0.0
2018-09-30,11.83,$-1.74,0.0
2018-06-30,11.0,$-0.56,0.0
2018-03-31,9.14,$-0.81,0.0
2017-12-31,9.41,$-1.03,0.0
2017-09-30,10.58,$-0.53,0.0
2017-06-30,12.03,$-0.44,0.0
2017-03-31,12.35,$-0.27,0.0
2016-12-31,9.31,$-0.77,0.0
2016-09-30,7.69,$-1.38,0.0
2016-06-30,8.42,$-1.81,0.0
2016-03-31,8.16,$-1.83,0.0
2015-12-31,12.17,$-2.83,0.0
2015-09-30,12.0,$-2.15,0.0
2015-06-30,24.27,$-1.57,0.0
2014-12-31,22.03,$-1.58,0.0
2014-09-30,23.74,$0.01,0.0
2014-06-30,26.59,$-0.21,0.0
