Texas Capital Bancshares PE Ratio Historical Data,Texas Capital Bancshares PE Ratio Historical Data,Texas Capital Bancshares PE Ratio Historical Data,Texas Capital Bancshares PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,80.54,,34.87
2024-09-30,71.46,$2.31,30.94
2024-06-30,61.14,$3.64,16.8
2023-12-31,64.63,$3.54,18.26
2023-09-30,58.9,$7.44,7.92
2023-06-30,51.5,$6.72,7.66
2023-03-31,48.96,$6.13,7.99
2022-12-31,60.31,$6.02,10.02
2024-03-31,61.55,$2.48,24.82
2022-09-30,59.03,$3.21,18.39
2022-06-30,52.64,$3.23,16.3
2022-03-31,57.31,$3.95,14.51
2021-12-31,60.25,$4.59,13.13
2021-09-30,60.02,$4.54,13.22
2021-06-30,63.49,$4.86,13.06
2021-03-31,70.92,$2.82,25.15
2020-12-31,59.5,$1.11,53.6
2020-09-30,31.13,$1.39,22.4
2020-06-30,30.87,$2.01,15.36
2020-03-31,22.17,$4.24,5.23
2019-12-31,56.77,$6.22,9.13
2019-09-30,54.65,$6.18,8.84
2019-06-30,61.37,$6.13,10.01
2019-03-31,54.59,$6.01,9.08
2018-12-31,51.09,$5.25,9.73
2018-09-30,82.65,$4.99,16.56
2018-03-31,89.9,$4.31,20.86
2017-12-31,88.9,$3.73,23.83
2017-09-30,85.8,$3.85,22.29
2017-06-30,77.4,$4.11,18.83
2017-03-31,83.45,$4.01,20.81
2016-12-31,78.4,$3.99,19.65
2018-06-30,91.5,$3.52,25.99
2016-09-30,54.92,$2.84,19.34
2016-06-30,46.76,$2.72,17.19
2016-03-31,38.38,$2.70,14.21
2015-12-31,49.42,$2.91,16.98
2015-09-30,52.44,$2.99,17.54
2015-06-30,62.24,$3.02,20.61
2015-03-31,48.65,$2.97,16.38
2014-12-31,54.33,$2.87,18.93
2014-09-30,57.68,$2.76,20.9
2014-06-30,53.95,$2.72,19.83
2014-03-31,64.94,$2.53,25.67
2013-12-31,62.2,$2.73,22.78
2013-09-30,45.89,$2.82,16.27
2013-06-30,44.36,$2.88,15.4
2013-03-31,40.45,$3.12,12.96
2012-12-31,44.82,$3.02,14.84
2012-09-30,49.71,$2.93,16.97
2012-06-30,40.39,$2.69,15.01
2012-03-31,34.62,$2.36,14.67
2011-12-31,30.61,$1.98,15.46
2011-09-30,22.85,$1.56,14.65
2011-06-30,25.83,$1.21,21.35
2010-12-31,21.34,$0.99,21.56
2010-09-30,17.27,$0.85,20.32
2010-06-30,16.4,$0.91,18.02
2010-03-31,18.99,$0.85,22.34
2009-12-31,13.96,$0.70,19.94
2011-03-31,25.99,$0.68,38.22
