Pilgrim's Pride PE Ratio Historical Data,Pilgrim's Pride PE Ratio Historical Data,Pilgrim's Pride PE Ratio Historical Data,Pilgrim's Pride PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,45.44,,14.29
2024-06-30,38.49,$3.18,12.1
2024-03-31,34.32,$2.06,16.66
2023-12-31,27.66,$1.35,20.49
2023-09-30,22.83,$0.12,190.25
2023-06-30,21.49,$0.69,31.14
2023-03-31,23.18,$1.94,11.95
2022-12-31,23.73,$3.07,7.73
2022-09-30,23.02,$3.88,5.93
2022-06-30,31.23,$3.05,10.24
2022-03-31,25.1,$0.87,28.85
2021-12-31,28.2,$0.13,216.92
2021-09-30,29.08,$-0.02,0.0
2021-06-30,22.18,$-0.13,0.0
2021-03-31,23.79,$0.53,44.89
2020-12-31,19.61,$0.49,40.02
2020-09-30,14.97,$0.93,16.09
2020-06-30,16.89,$1.47,11.49
2019-12-31,32.72,$1.83,17.88
2019-09-30,32.05,$1.43,22.41
2019-06-30,25.39,$1.26,20.15
2019-03-31,22.29,$0.70,31.84
2018-12-31,15.51,$0.79,19.63
2020-03-31,18.12,$1.30,13.94
2018-09-30,18.09,$1.57,11.52
2018-06-30,20.13,$2.38,8.46
2018-03-31,24.61,$2.89,8.52
2017-12-31,31.06,$2.79,11.13
2017-09-30,28.41,$2.53,11.23
2017-06-30,21.92,$1.99,11.02
2017-03-31,22.51,$1.65,13.64
2016-12-31,18.99,$1.73,10.98
2016-09-30,21.12,$1.70,12.42
2016-06-30,25.48,$1.84,13.85
2016-03-31,22.86,$2.17,10.53
2015-12-31,19.88,$2.50,7.95
2015-09-30,18.7,$2.89,6.47
2015-06-30,20.67,$3.35,6.17
2015-03-31,20.33,$3.15,6.45
2014-12-31,24.48,$2.74,8.93
2014-09-30,22.81,$2.65,8.61
2014-06-30,20.42,$2.28,8.96
2014-03-31,15.62,$2.29,6.82
2013-12-31,12.13,$2.00,6.07
2013-09-30,12.53,$1.62,7.73
2013-06-30,11.15,$1.27,8.78
2012-12-31,5.4,$0.71,7.61
2012-09-30,3.81,$0.22,17.34
2012-06-30,5.34,$0.26,20.53
2012-03-31,5.57,$-0.77,0.0
2011-12-31,4.3,$-1.55,0.0
2013-03-31,6.86,$-1.71,0.0
2011-09-30,3.19,$-1.72,0.0
2011-06-30,4.04,$-0.69,0.0
2011-03-31,5.76,$0.06,95.92
2010-12-31,5.29,$0.41,12.91
2010-09-30,4.2,$0.65,6.45
2010-06-30,4.9,$0.38,12.91
2010-03-31,7.94,$0.95,8.36
2009-12-31,6.64,$0.37,17.96
