Stellantis PE Ratio Historical Data,Stellantis PE Ratio Historical Data,Stellantis PE Ratio Historical Data,Stellantis PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,13.0,,14.77
2024-06-30,19.85,$0.88,22.56
2020-12-31,12.66,$1.99,6.36
2020-09-30,8.55,$0.69,12.4
2020-03-31,5.03,$0.36,13.98
2019-12-31,10.28,$2.00,5.14
2019-09-30,9.06,$1.83,4.95
2019-06-30,9.67,$2.37,4.08
2019-03-31,9.38,$2.38,3.94
2018-12-31,9.13,$2.73,3.34
2018-09-30,11.06,$2.39,4.63
2018-06-30,11.93,$2.66,4.48
2018-03-31,12.96,$2.90,4.47
2017-12-31,11.26,$2.54,4.43
2017-09-30,11.31,$2.23,5.07
2017-06-30,6.71,$0.81,8.29
2017-03-31,6.9,$0.43,16.05
2016-12-31,5.76,$0.21,27.42
2020-06-30,7.17,$0.26,27.57
2016-09-30,4.04,$1.17,3.45
2016-06-30,3.86,$0.51,7.58
2016-03-31,5.09,$0.53,9.6
2015-12-31,8.83,$0.25,35.33
2015-09-30,8.34,$0.27,30.89
2015-06-30,9.17,$0.29,31.64
2015-03-31,10.3,$1.01,10.2
2014-06-30,6.26,$1.13,5.54
2014-03-31,7.36,$1.30,5.66
