PVH PE Ratio Historical Data,PVH PE Ratio Historical Data,PVH PE Ratio Historical Data,PVH PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,100.09,,7.94
2024-07-31,101.95,$12.60,8.09
2024-04-30,108.76,$11.30,9.62
2024-01-31,120.18,$10.85,11.08
2023-10-31,74.27,$8.48,8.76
2023-07-31,89.5,$2.94,30.44
2023-04-30,85.64,$3.16,27.1
2023-01-31,89.68,$2.96,30.3
2022-10-31,51.16,$6.31,8.11
2022-07-31,61.69,$13.08,4.72
2022-04-30,72.47,$13.87,5.22
2022-01-31,94.56,$13.31,7.1
2021-10-31,108.78,$6.97,15.61
2021-07-31,104.09,$4.06,25.64
2021-04-30,112.61,$0.83,135.67
2021-01-31,84.83,$-15.92,0.0
2020-10-31,57.99,$-16.04,0.0
2020-07-31,48.41,$-14.20,0.0
2020-04-30,48.98,$-10.90,0.0
2020-01-31,86.63,$6.56,13.21
2019-10-31,86.59,$10.64,8.14
2019-07-31,88.29,$9.94,8.88
2019-01-31,108.27,$9.65,11.22
2018-10-31,119.82,$8.95,13.39
2018-07-31,152.25,$6.88,22.13
2018-04-30,158.31,$7.81,20.27
2018-01-31,153.72,$7.04,21.84
2019-04-30,128.04,$6.54,19.58
2017-10-31,125.66,$6.72,18.7
2017-07-31,118.17,$5.23,22.6
2017-04-30,100.05,$6.54,15.3
2017-01-31,92.86,$7.28,12.76
2016-10-31,105.86,$8.69,12.18
2016-04-30,94.52,$8.35,11.32
2016-01-31,72.52,$6.89,10.53
2015-10-31,89.85,$5.88,15.28
2015-07-31,114.59,$4.32,26.53
2015-04-30,102.02,$5.81,17.56
2015-01-31,108.81,$5.96,18.26
2016-07-31,99.97,$5.76,17.36
2014-10-31,112.81,$4.19,26.92
2014-07-31,108.66,$3.85,28.22
2014-04-30,123.8,$2.13,58.12
2014-01-31,119.13,$1.46,81.6
2013-10-31,122.75,$3.01,40.78
2013-07-31,129.82,$2.88,45.08
2013-04-30,113.65,$4.27,26.62
2013-01-31,117.02,$5.79,20.21
2012-10-31,108.24,$5.81,18.63
2012-07-31,78.13,$5.11,15.29
2012-04-30,87.31,$4.84,18.04
2012-01-31,75.86,$4.36,17.4
2011-10-31,73.09,$3.97,18.41
2011-07-31,70.24,$3.55,19.79
2011-04-30,69.08,$1.80,38.38
2011-01-31,57.23,$0.48,119.24
2010-10-31,60.11,$0.27,222.62
2010-07-31,50.81,$0.73,69.6
2010-04-30,61.66,$2.07,29.79
2010-01-31,38.42,$3.08,12.47
2009-10-31,39.23,$1.83,21.43
