Ubiquiti PE Ratio Historical Data,Ubiquiti PE Ratio Historical Data,Ubiquiti PE Ratio Historical Data,Ubiquiti PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,249.8,,43.14
2024-06-30,145.21,$5.79,25.08
2024-03-31,115.02,$5.79,19.87
2023-12-31,137.91,$6.16,22.39
2023-09-30,142.79,$6.66,21.44
2023-06-30,172.13,$6.75,25.5
2023-03-31,265.18,$6.56,40.42
2022-12-31,266.41,$5.75,46.33
2022-09-30,285.34,$5.55,51.41
2022-06-30,240.78,$6.12,39.34
2022-03-31,281.74,$7.05,39.96
2021-12-31,296.03,$8.55,34.62
2021-09-30,287.72,$9.43,30.51
2021-06-30,300.2,$9.78,30.69
2021-03-31,286.44,$8.77,32.66
2020-12-31,267.13,$8.05,33.18
2020-09-30,159.6,$6.83,23.37
2020-06-30,166.8,$5.80,28.76
2020-03-31,135.05,$5.36,25.2
2019-12-31,179.89,$5.01,35.91
2019-09-30,112.4,$4.78,23.51
2019-06-30,124.64,$4.51,27.64
2019-03-31,141.62,$4.44,31.9
2018-12-31,93.87,$4.51,20.81
2018-09-30,93.14,$2.76,33.75
2018-06-30,79.6,$2.52,31.59
2018-03-31,64.64,$2.32,27.86
2017-12-31,66.72,$1.77,37.7
2017-09-30,52.63,$3.15,16.71
2017-06-30,48.83,$3.09,15.8
2017-03-31,47.22,$3.04,15.53
2016-12-31,54.3,$2.89,18.79
2016-09-30,50.26,$2.74,18.34
2016-06-30,36.32,$2.49,14.59
2016-03-31,31.26,$1.85,16.9
2015-12-31,29.77,$1.69,17.62
2015-09-30,31.84,$1.64,19.41
2015-06-30,29.98,$1.45,20.68
2015-03-31,27.76,$1.95,14.24
2014-12-31,27.85,$1.94,14.35
2014-09-30,35.08,$1.74,20.16
2014-06-30,42.24,$1.55,27.25
2013-09-30,31.4,$1.20,26.16
2013-06-30,16.39,$0.89,18.42
2013-03-31,12.82,$0.87,14.74
2012-12-31,11.35,$1.11,10.22
2012-09-30,10.96,$1.21,9.06
2012-06-30,13.13,$1.23,10.67
2013-12-31,42.96,$1.43,30.04
