COPT Defense Properties PE Ratio Historical Data,COPT Defense Properties PE Ratio Historical Data,COPT Defense Properties PE Ratio Historical Data,COPT Defense Properties PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,32.42,,0.0
2024-06-30,24.79,$-1.04,0.0
2024-03-31,23.66,$-1.08,0.0
2023-12-31,24.78,$-0.67,0.0
2023-09-30,22.79,$-0.52,0.0
2023-06-30,22.45,$1.69,13.28
2023-03-31,22.14,$1.71,12.95
2022-12-31,23.93,$1.53,15.64
2022-09-30,21.2,$1.20,17.67
2022-06-30,23.62,$1.17,20.19
2022-03-31,25.48,$1.26,20.22
2021-12-31,24.73,$0.68,36.37
2021-09-30,23.63,$1.29,18.31
2021-06-30,24.27,$0.76,31.93
2021-03-31,22.6,$0.59,38.31
2020-12-31,22.16,$0.86,25.76
2020-09-30,19.94,$0.51,39.1
2020-06-30,21.05,$0.99,21.27
2020-03-31,18.19,$1.73,10.51
2019-12-31,23.85,$1.71,13.95
2019-09-30,23.95,$1.49,16.08
2019-06-30,21.02,$1.48,14.2
2019-03-31,21.53,$0.72,29.91
2018-12-31,16.43,$0.70,23.46
2018-09-30,23.0,$0.64,35.93
2018-06-30,22.14,$0.67,33.04
2018-03-31,19.54,$0.56,34.89
2017-12-31,21.86,$0.57,38.34
2017-09-30,24.34,$0.69,35.28
2017-06-30,25.76,$0.73,35.29
2017-03-31,24.15,$0.11,219.57
2016-12-31,22.59,$-0.04,0.0
2016-09-30,20.33,$0.33,61.61
2016-06-30,21.01,$0.99,21.22
2016-03-31,18.46,$1.66,11.12
2015-12-31,15.2,$1.73,8.79
2015-09-30,14.46,$1.15,12.58
2015-06-30,15.98,$0.46,34.74
2015-03-31,19.72,$0.35,56.35
2014-12-31,18.87,$0.25,75.46
2014-09-30,16.94,$1.18,14.36
2014-06-30,18.13,$0.87,20.83
2014-03-31,17.19,$0.69,24.92
2013-12-31,15.13,$0.80,18.91
2013-09-30,14.58,$0.02,729.19
2013-06-30,15.91,$-0.28,0.0
2013-03-31,16.46,$-0.03,0.0
2012-12-31,15.25,$-0.10,0.0
2012-09-30,14.47,$-1.47,0.0
2012-06-30,14.03,$-1.05,0.0
2012-03-31,13.68,$-1.56,0.0
2011-12-31,12.38,$-1.93,0.0
2011-09-30,12.44,$-0.54,0.0
2011-06-30,17.44,$-0.49,0.0
2011-03-31,19.99,0,0.0
2010-12-31,19.11,$0.43,44.44
2010-09-30,20.17,$0.33,61.11
2010-06-30,20.19,$0.43,46.95
2010-03-31,21.24,$0.58,36.63
2009-12-31,19.21,$0.71,27.05
