Summit Materials PE Ratio Historical Data,Summit Materials PE Ratio Historical Data,Summit Materials PE Ratio Historical Data,Summit Materials PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,41.75,,19.51
2024-06-30,36.61,$2.14,17.11
2024-03-31,44.57,$2.24,19.9
2023-12-31,38.46,$2.38,16.16
2023-09-30,31.14,$2.61,11.93
2023-06-30,37.85,$1.41,26.89
2023-03-31,28.49,$2.28,12.49
2022-12-31,28.39,$2.26,12.58
2022-09-30,23.56,$2.37,9.94
2022-06-30,22.9,$2.26,10.13
2022-03-31,30.54,$1.16,26.32
2021-12-31,39.47,$1.26,31.36
2021-09-30,31.44,$1.20,26.21
2021-06-30,34.27,$1.37,25.07
2021-03-31,27.55,$1.39,19.87
2020-12-31,19.74,$1.18,16.73
2020-09-30,16.26,$1.18,13.78
2020-06-30,15.81,$0.88,18.07
2020-03-31,14.75,$0.70,21.12
2019-12-31,23.5,$0.48,48.77
2019-09-30,21.83,$0.01,0.0
2019-06-30,18.93,$0.17,113.21
2019-03-31,15.6,$0.17,93.33
2018-12-31,12.19,$0.30,41.33
2018-09-30,17.88,$0.84,21.39
2018-06-30,25.81,$0.90,28.53
2018-03-31,29.77,$1.04,28.73
2017-12-31,30.91,$1.03,29.92
2017-09-30,31.06,$0.66,47.1
2017-06-30,28.0,$0.55,51.3
2017-03-31,23.96,$0.30,79.66
2016-12-31,23.07,$0.38,60.2
2016-09-30,17.77,$0.60,29.45
2016-06-30,19.61,$0.39,50.62
2016-03-31,18.64,$0.18,105.47
2015-12-31,19.2,$0.22,87.09
