Novartis AG PE Ratio Historical Data,Novartis AG PE Ratio Historical Data,Novartis AG PE Ratio Historical Data,Novartis AG PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,116.51,,14.77
2024-06-30,106.46,$7.89,13.49
2024-03-31,96.73,$7.41,13.05
2023-12-31,97.29,$7.18,13.55
2023-09-30,98.15,$3.72,26.38
2023-06-30,97.23,$3.59,27.08
2023-03-31,88.65,$3.25,27.28
2022-12-31,83.75,$3.17,26.42
2022-09-30,70.17,$9.73,7.21
2022-06-30,78.04,$10.23,7.63
2022-03-31,81.01,$10.74,7.54
2021-12-31,77.54,$10.65,7.28
2021-09-30,72.49,$4.33,16.74
2021-06-30,80.88,$3.95,20.48
2021-03-31,75.77,$3.48,21.77
2020-12-31,80.62,$3.52,22.9
2020-09-30,74.24,$3.09,24.03
2020-06-30,74.56,$3.14,23.75
2020-03-31,70.39,$5.24,13.43
2019-12-31,77.96,$5.05,15.44
2019-09-30,71.55,$5.07,14.11
2019-06-30,75.18,$4.87,15.44
2019-03-31,69.5,$5.27,13.19
2018-12-31,62.03,$5.37,11.55
2018-09-30,62.28,$5.70,10.93
2018-06-30,54.61,$5.89,9.27
2018-03-31,58.44,$3.41,17.14
2017-12-31,58.58,$3.25,18.03
2017-09-30,59.9,$2.81,21.32
2017-06-30,58.24,$2.74,21.26
2017-03-31,51.82,$2.66,19.48
2016-12-31,49.06,$2.80,17.52
2016-09-30,53.19,$2.84,18.73
2016-06-30,55.58,$2.80,19.85
2016-03-31,48.79,$2.80,17.43
2015-12-31,55.84,$7.28,7.67
2015-09-30,59.65,$7.45,8.01
2015-06-30,63.82,$7.99,7.99
2015-03-31,64.0,$8.27,7.74
2014-12-31,58.49,$4.14,14.13
2014-09-30,59.42,$4.35,13.66
2014-06-30,57.14,$3.94,14.5
2014-03-31,53.67,$3.94,13.62
2013-12-31,49.09,$3.72,13.2
2013-09-30,46.85,$3.73,12.56
2013-06-30,43.19,$3.84,11.25
2013-03-31,43.51,$3.92,11.1
2012-12-31,37.25,$3.90,9.55
2012-09-30,36.05,$3.55,10.16
2012-06-30,32.9,$3.55,9.27
2012-03-31,32.61,$3.55,9.19
2011-12-31,32.2,$3.80,8.47
2011-09-30,31.42,$4.26,7.37
2011-06-30,34.42,$4.31,7.99
2011-03-31,30.62,$4.49,6.82
2010-12-31,31.84,$4.30,7.4
2010-06-30,26.1,$4.28,6.1
2010-03-31,29.22,$4.11,7.11
2009-12-31,28.36,$3.69,7.69
2009-09-30,26.25,$3.67,7.15
