Telefonica Brasil S.A PE Ratio Historical Data,Telefonica Brasil S.A PE Ratio Historical Data,Telefonica Brasil S.A PE Ratio Historical Data,Telefonica Brasil S.A PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,9.64,,16.91
2024-06-30,8.21,$0.57,14.4
2024-03-31,10.07,$0.56,17.98
2023-09-30,8.55,$0.61,14.02
2023-06-30,9.13,$0.52,17.56
2022-12-31,7.15,$0.47,15.21
2022-09-30,7.52,$0.49,15.35
2022-06-30,8.98,$0.51,17.6
2022-03-31,10.86,$0.54,20.12
2021-09-30,7.36,$0.57,12.92
2020-12-31,8.33,$0.57,14.62
2020-09-30,7.18,$0.56,12.83
2020-06-30,8.3,$0.58,14.31
2020-03-31,8.7,$0.66,13.18
2019-12-31,12.99,$0.72,18.04
2019-09-30,11.94,$0.78,15.31
2019-06-30,11.71,$1.12,10.45
2019-03-31,10.47,$1.44,7.27
2018-12-31,10.28,$1.43,7.19
2018-09-30,8.25,$1.48,5.57
2018-06-30,9.58,$1.23,7.79
2018-03-31,12.4,$0.87,14.25
2017-12-31,11.97,$0.86,13.92
2017-09-30,12.56,$0.80,15.69
2017-06-30,10.68,$0.74,14.43
2017-03-31,11.44,$0.70,16.34
2016-12-31,10.21,$0.70,14.58
2016-09-30,10.94,$0.65,16.83
2016-06-30,10.26,$0.63,16.29
2016-03-31,9.17,$0.69,13.28
2015-12-31,6.56,$0.67,9.79
2015-09-30,6.57,$0.89,7.39
2015-06-30,9.95,$1.09,9.13
2015-03-31,10.79,$1.70,6.35
2014-12-31,12.2,$1.80,6.78
2014-09-30,13.37,$1.77,7.55
2014-06-30,13.79,$1.71,8.07
2014-03-31,14.25,$1.28,11.13
2013-12-31,12.42,$1.37,9.06
2013-09-30,14.32,$1.65,8.68
2013-06-30,14.51,$1.77,8.2
2013-03-31,16.59,$1.88,8.83
2012-12-31,14.51,$2.00,7.25
2012-09-30,12.83,$1.88,6.83
2012-06-30,14.6,$2.17,6.73
2012-03-31,17.85,$2.48,7.2
2011-12-31,15.93,$2.50,6.37
2011-09-30,14.97,$2.48,6.03
2011-06-30,16.8,$2.53,6.64
2011-03-31,13.94,$2.52,5.53
2010-12-31,12.74,$2.47,5.16
2010-09-30,12.36,$1.97,6.27
2010-06-30,10.3,$1.91,5.39
2010-03-31,10.53,$1.71,6.16
2009-12-31,11.99,$1.72,6.97
