Eni SpA PE Ratio Historical Data,Eni SpA PE Ratio Historical Data,Eni SpA PE Ratio Historical Data,Eni SpA PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,30.68,,11.98
2024-06-30,30.27,$2.56,11.82
2024-03-31,30.7,$2.32,13.23
2023-12-31,32.38,$3.02,10.72
2023-09-30,29.93,$3.30,9.07
2023-06-30,26.58,$5.43,4.89
2023-03-31,25.43,$7.54,3.37
2022-12-31,25.56,$8.28,3.09
2022-09-30,18.55,$10.31,1.8
2022-06-30,20.5,$7.72,2.66
2022-03-31,24.42,$5.58,4.38
2021-12-31,23.08,$3.92,5.89
2021-09-30,22.33,$1.02,21.89
2021-06-30,19.56,$-0.09,0.0
2021-03-31,19.36,$-2.94,0.0
2020-12-31,16.14,$-5.33,0.0
2020-09-30,12.18,$-6.02,0.0
2020-06-30,14.85,$-5.36,0.0
2020-03-31,14.53,$-2.38,0.0
2019-12-31,22.7,$0.11,206.33
2019-09-30,22.35,$1.60,13.97
2019-06-30,23.5,$2.25,10.45
2019-03-31,24.38,$2.82,8.65
2018-12-31,21.79,$2.78,7.84
2018-09-30,26.05,$3.83,6.8
2018-06-30,25.04,$3.08,8.13
2018-03-31,23.26,$2.24,10.38
2017-12-31,21.85,$2.18,10.02
2017-09-30,21.77,$1.00,21.77
2017-06-30,19.22,$0.41,46.88
2017-03-31,20.35,$0.14,145.34
2016-12-31,20.04,$-0.92,0.0
2016-09-30,17.95,$-6.26,0.0
2016-06-30,19.49,$-6.48,0.0
2016-03-31,17.66,$-6.30,0.0
2015-12-31,17.42,$-5.37,0.0
2015-09-30,18.34,$-1.70,0.0
2015-06-30,20.23,$0.10,202.28
2015-03-31,19.06,$0.37,51.52
2014-12-31,19.23,$0.91,21.13
2014-09-30,26.02,$1.92,13.55
2014-06-30,29.36,$3.67,8.0
2014-03-31,26.05,$3.69,7.06
2013-12-31,25.17,$3.84,6.56
2013-09-30,23.9,$5.34,4.48
2013-06-30,20.66,$4.08,5.06
2013-03-31,21.96,$3.98,5.52
2012-12-31,24.03,$5.46,4.4
2012-09-30,21.44,$5.40,3.97
2012-06-30,20.21,$5.07,3.99
2012-03-31,21.51,$5.98,3.6
2011-12-31,18.96,$5.27,3.6
2011-09-30,16.14,$4.71,3.43
2011-06-30,20.97,$4.57,4.59
2011-03-31,21.02,$4.83,4.35
2010-12-31,18.72,$4.61,4.06
2010-09-30,18.48,$4.73,3.91
2010-06-30,15.17,$4.46,3.4
2010-03-31,18.78,$3.82,4.92
2009-12-31,20.25,$3.51,5.77
