Open Text PE Ratio Historical Data,Open Text PE Ratio Historical Data,Open Text PE Ratio Historical Data,Open Text PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,33.94,,19.85
2024-06-30,29.79,$1.71,17.42
2024-03-31,38.19,$0.62,61.59
2023-12-31,41.06,$0.47,87.35
2023-09-30,34.08,$1.29,26.42
2023-06-30,40.1,$0.56,71.6
2023-03-31,36.99,$1.12,33.02
2022-12-31,28.24,$1.19,23.73
2022-09-30,24.98,$0.55,45.42
2022-06-30,35.38,$1.46,24.23
2022-03-31,39.43,$1.74,22.66
2021-12-31,43.93,$1.79,24.54
2021-09-30,44.89,$1.23,36.49
2021-06-30,46.6,$1.13,41.24
2021-03-31,43.58,$0.57,76.46
2020-12-31,41.34,$0.34,121.58
2020-09-30,38.24,$0.98,39.02
2020-06-30,38.31,$0.87,44.03
2020-03-31,31.36,$1.04,30.15
2019-12-31,39.41,$1.21,32.57
2019-09-30,36.35,$1.20,30.29
2019-06-30,36.53,$1.06,34.46
2019-03-31,33.93,$1.02,33.26
2018-12-31,28.67,$0.97,29.55
2018-09-30,33.45,$0.90,37.17
2018-06-30,30.82,$0.91,33.87
2018-03-31,30.35,$0.85,35.71
2017-12-31,30.99,$0.71,43.65
2017-09-30,27.94,$0.57,49.02
2017-06-30,27.18,$4.16,6.53
2017-03-31,29.19,$4.35,6.72
2016-12-31,26.43,$4.55,5.81
2016-09-30,27.64,$4.73,5.84
2016-06-30,25.12,$1.17,21.47
2016-03-31,21.9,$1.10,20.0
2015-12-31,20.19,$0.92,21.94
2015-09-30,18.77,$0.86,21.82
2015-06-30,16.92,$0.96,17.72
2015-03-31,21.98,$1.04,21.24
2014-12-31,24.14,$1.12,21.65
2014-09-30,22.89,$1.04,22.01
2014-06-30,19.74,$0.91,21.82
2014-03-31,19.58,$0.72,27.1
2013-12-31,18.81,$0.64,29.28
2013-09-30,15.22,$0.68,22.46
2013-06-30,13.9,$0.63,22.06
2013-03-31,11.93,$0.49,24.47
2012-12-31,11.29,$0.53,21.51
2012-09-30,11.14,$0.47,23.84
2012-06-30,10.08,$0.54,18.85
2012-03-31,12.36,$0.62,19.86
2011-12-31,10.34,$0.63,16.47
2011-09-30,10.53,$0.59,18.01
2011-06-30,12.94,$0.53,24.53
2011-03-31,12.59,$0.63,20.07
2010-12-31,9.31,$0.53,17.48
2010-09-30,9.51,$0.47,20.44
2010-06-30,7.59,$0.38,19.96
2010-03-31,9.59,$0.25,38.76
2009-12-31,8.22,$0.29,28.09
