Fluor PE Ratio Historical Data,Fluor PE Ratio Historical Data,Fluor PE Ratio Historical Data,Fluor PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,53.88,,23.03
2024-06-30,43.55,$2.34,18.61
2024-03-31,42.28,$1.72,24.58
2023-12-31,39.17,$0.56,69.95
2023-09-30,36.7,$0.67,54.78
2023-06-30,29.6,$-0.40,0.0
2023-03-31,30.91,$-0.37,0.0
2022-12-31,34.66,$0.73,47.48
2022-09-30,24.89,$-0.47,0.0
2022-06-30,24.34,$-0.33,0.0
2022-03-31,28.69,$-0.79,0.0
2021-12-31,24.77,$-2.23,0.0
2021-09-30,15.97,$-0.88,0.0
2021-06-30,17.7,$-1.28,0.0
2020-12-31,15.97,$-3.10,0.0
2020-09-30,8.81,$-4.05,0.0
2020-06-30,12.08,$-4.62,0.0
2020-03-31,6.91,$-9.73,0.0
2019-12-31,18.68,$-11.79,0.0
2021-03-31,23.09,$-10.10,0.0
2019-09-30,18.81,$-9.31,0.0
2019-06-30,32.74,$-3.47,0.0
2019-03-31,35.5,$1.30,27.31
2018-12-31,30.89,$1.59,19.43
2018-09-30,55.45,$1.66,33.4
2018-06-30,46.39,$1.78,26.06
2018-03-31,54.18,$0.80,67.72
2017-12-31,48.72,$1.36,35.83
2017-09-30,39.55,$1.43,27.66
2017-06-30,42.77,$0.79,54.14
2017-03-31,48.93,$1.68,29.13
2016-12-31,48.66,$1.99,24.45
2016-09-30,47.36,$1.13,41.91
2016-06-30,45.29,$2.27,19.95
2016-03-31,49.16,$2.55,19.28
2015-12-31,43.03,$2.77,15.53
2015-09-30,38.43,$4.50,8.54
2015-06-30,47.88,$3.77,12.7
2015-03-31,51.43,$3.25,15.83
2014-12-31,54.36,$3.30,16.47
2014-09-30,59.68,$2.98,20.03
2014-06-30,68.52,$3.52,19.47
2013-12-31,71.15,$4.06,17.52
2013-09-30,62.75,$3.02,20.78
2013-06-30,52.32,$2.89,18.1
2013-03-31,58.37,$2.77,21.07
2012-12-31,51.55,$2.70,19.09
2014-03-31,69.07,$3.64,18.97
2012-09-30,49.25,$3.62,13.6
2012-06-30,42.91,$3.54,12.12
2012-03-31,52.04,$3.53,14.74
2011-12-31,43.44,$3.40,12.78
2011-09-30,40.15,$3.15,12.75
2011-06-30,55.65,$2.07,26.89
2011-03-31,63.28,$2.00,31.64
2010-12-31,56.82,$1.98,28.7
2010-09-30,42.39,$2.15,19.71
2010-06-30,36.27,$3.34,10.86
2010-03-31,39.59,$3.40,11.64
2009-12-31,38.22,$3.76,10.17
