Western Union PE Ratio Historical Data,Western Union PE Ratio Historical Data,Western Union PE Ratio Historical Data,Western Union PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,11.93,,7.32
2024-06-30,11.98,$1.63,7.35
2024-03-31,13.44,$1.69,7.96
2023-12-31,11.26,$1.68,6.71
2023-09-30,12.22,$1.98,6.17
2023-06-30,10.68,$1.97,5.42
2023-03-31,9.95,$2.00,4.97
2022-12-31,12.02,$2.34,5.14
2022-09-30,11.58,$2.11,5.49
2022-06-30,13.89,$2.23,6.23
2022-03-31,15.58,$2.27,6.86
2021-12-31,14.64,$1.97,7.43
2021-09-30,16.39,$1.98,8.28
2021-06-30,18.41,$1.96,9.39
2021-03-31,19.58,$1.81,10.82
2020-12-31,17.26,$1.79,9.64
2020-09-30,16.69,$1.68,9.93
2020-06-30,16.67,$1.45,11.5
2020-03-31,13.84,$2.48,5.58
2019-12-31,20.22,$2.45,8.25
2019-09-30,17.37,$2.61,6.65
2019-06-30,14.78,$2.75,5.38
2019-03-31,13.59,$1.80,7.55
2018-12-31,12.42,$1.87,6.64
2018-09-30,13.73,$-1.05,0.0
2018-06-30,14.5,$-1.00,0.0
2018-03-31,13.59,$-1.12,0.0
2017-12-31,13.31,$-1.25,0.0
2017-09-30,13.32,$0.46,28.96
2017-06-30,13.1,$0.39,33.58
2017-03-31,13.86,$0.46,30.14
2016-12-31,14.67,$0.50,29.34
2016-09-30,13.96,$1.65,8.46
2016-06-30,12.76,$1.66,7.69
2016-03-31,12.72,$1.60,7.95
2015-12-31,11.71,$1.62,7.23
2015-09-30,11.9,$1.62,7.35
2015-06-30,13.07,$1.61,8.12
2015-03-31,13.28,$1.61,8.25
2014-12-31,11.34,$1.59,7.13
2014-09-30,10.08,$1.48,6.81
2014-06-30,10.82,$1.43,7.57
2014-03-31,10.13,$1.43,7.08
2013-12-31,10.6,$1.43,7.41
2013-09-30,11.38,$1.52,7.48
2013-06-30,10.36,$1.58,6.56
2013-03-31,9.04,$1.66,5.45
2012-12-31,8.11,$1.69,4.8
2012-09-30,10.76,$2.02,5.32
2012-06-30,9.89,$1.95,5.07
2012-03-31,10.27,$1.92,5.35
2011-12-31,10.6,$1.84,5.76
2011-09-30,8.83,$1.48,5.97
2011-06-30,11.51,$1.46,7.88
2011-03-31,11.89,$1.38,8.61
2010-12-31,10.59,$1.36,7.79
2010-09-30,10.04,$1.31,7.66
2010-06-30,8.44,$1.21,6.98
2010-03-31,9.57,$1.19,8.04
2009-12-31,10.6,$1.21,8.76
