Terex PE Ratio Historical Data,Terex PE Ratio Historical Data,Terex PE Ratio Historical Data,Terex PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,56.35,,7.73
2024-06-30,54.67,$7.29,7.5
2024-03-31,64.2,$7.55,8.5
2023-12-31,57.12,$7.59,7.53
2023-09-30,57.07,$7.07,8.07
2023-06-30,59.09,$6.52,9.06
2023-03-31,47.64,$5.25,9.08
2022-12-31,41.96,$4.44,9.45
2022-09-30,29.12,$3.78,7.7
2022-06-30,26.71,$3.62,7.38
2021-12-31,42.58,$3.12,13.65
2021-09-30,40.69,$2.54,16.02
2021-06-30,45.93,$2.59,17.73
2021-03-31,44.33,$1.63,27.2
2020-12-31,33.48,$0.93,36.0
2022-03-31,34.68,$0.33,105.08
2020-09-30,18.58,$-0.06,0.0
2020-06-30,18.01,$0.16,112.56
2020-03-31,13.78,$1.34,10.28
2019-12-31,28.4,$0.76,37.37
2019-09-30,24.67,$-0.03,0.0
2019-06-30,29.71,$0.18,165.03
2019-03-31,30.28,$-0.12,0.0
2018-12-31,25.9,$1.43,18.11
2018-09-30,37.37,$1.57,23.8
2018-06-30,39.4,$1.72,22.91
2018-03-31,34.85,$2.01,17.34
2017-12-31,44.81,$1.35,33.19
2017-09-30,41.76,$-0.86,0.0
2017-06-30,34.72,$-0.63,0.0
2017-03-31,29.0,$-1.08,0.0
2016-12-31,29.05,$-1.69,0.0
2016-09-30,23.34,$0.98,23.82
2016-06-30,18.6,$0.49,37.96
2016-03-31,22.71,$0.68,33.4
2015-12-31,16.81,$1.34,12.55
2015-09-30,16.28,$1.90,8.57
2015-06-30,21.04,$2.06,10.21
2015-03-31,24.0,$2.49,9.64
2014-12-31,25.11,$2.78,9.03
2014-09-30,28.56,$2.81,10.16
2014-06-30,36.89,$3.06,12.06
2014-03-31,39.72,$2.03,19.57
2013-12-31,37.6,$1.94,19.38
2013-09-30,30.05,$0.90,33.39
2013-06-30,23.52,$0.36,65.34
2013-03-31,30.78,$0.95,32.4
2012-12-31,25.14,$0.94,26.75
2012-09-30,20.2,$1.22,16.55
2012-06-30,15.95,$1.28,12.46
2012-03-31,20.12,$0.51,39.46
2011-12-31,12.08,$0.41,29.47
2011-09-30,9.18,$0.01,917.64
2011-06-30,25.45,$-1.18,0.0
2011-03-31,33.13,$-1.55,0.0
2010-12-31,27.76,$3.33,8.34
2010-09-30,20.5,$2.43,8.44
2010-06-30,16.76,$2.34,7.16
2010-03-31,20.31,$1.93,10.52
2009-12-31,17.72,$-3.84,0.0
