Scotts Miracle-Gro PE Ratio Historical Data,Scotts Miracle-Gro PE Ratio Historical Data,Scotts Miracle-Gro PE Ratio Historical Data,Scotts Miracle-Gro PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,89.46,,0.0
2024-06-30,64.47,$-4.73,0.0
2024-03-31,73.17,$-6.24,0.0
2023-12-31,61.84,$-7.04,0.0
2023-09-30,49.55,$-6.79,0.0
2023-06-30,59.34,$-2.43,0.0
2023-03-31,65.35,$-11.21,0.0
2022-12-31,45.17,$-8.21,0.0
2022-09-30,39.28,$-7.90,0.0
2022-06-30,71.94,$0.01,0.0
2022-03-31,111.21,$13.45,8.27
2021-09-30,131.16,$8.94,14.67
2021-06-30,171.27,$9.87,17.35
2021-03-31,218.0,$5.03,43.34
2020-12-31,176.72,$3.15,56.1
2020-09-30,135.21,$7.19,18.81
2021-12-31,144.87,$5.84,24.81
2020-06-30,114.94,$5.70,20.17
2020-03-31,87.16,$5.71,15.26
2019-12-31,89.93,$8.33,10.8
2019-09-30,85.74,$8.17,10.49
2019-06-30,82.49,$6.56,12.57
2019-03-31,65.4,$4.47,14.63
2018-12-31,50.81,$-0.03,0.0
2018-09-30,64.61,$1.04,62.12
2018-06-30,67.74,$3.12,21.71
2018-03-31,69.42,$4.18,16.61
2017-12-31,86.11,$4.32,19.93
2017-09-30,77.92,$3.60,21.64
2017-06-30,71.21,$3.81,18.69
2017-03-31,73.91,$4.72,15.66
2016-12-31,75.22,$5.37,14.01
2016-09-30,65.19,$5.14,12.68
2016-06-30,54.4,$5.12,10.63
2016-03-31,56.24,$3.82,14.72
2015-12-31,49.51,$2.45,20.21
2015-09-30,46.35,$2.54,18.25
2015-06-30,44.78,$2.68,16.71
2015-03-31,50.44,$2.49,20.26
2014-12-31,46.48,$2.48,18.74
2014-09-30,40.72,$3.40,11.98
2014-06-30,40.38,$6.01,6.72
2014-03-31,43.2,$5.66,7.63
2013-09-30,38.21,$2.56,14.93
2013-06-30,33.28,$2.21,15.06
2013-03-31,29.39,$-1.22,0.0
2012-12-31,29.71,$-1.32,0.0
2012-09-30,29.09,$1.83,15.9
2013-12-31,43.53,$1.28,34.01
2012-06-30,27.3,$1.48,18.45
2012-03-31,35.72,$1.67,21.39
2011-12-31,30.6,$2.25,13.6
2011-09-30,29.03,$2.44,11.9
2011-06-30,33.18,$2.81,11.81
2011-03-31,37.25,$3.71,10.04
2010-12-31,32.53,$2.84,11.45
2010-09-30,32.98,$2.98,11.07
2010-06-30,28.17,$3.24,8.69
2010-03-31,29.31,$2.88,10.18
2009-12-31,24.78,$2.30,10.77
