Ryanair Holdings PE Ratio Historical Data,Ryanair Holdings PE Ratio Historical Data,Ryanair Holdings PE Ratio Historical Data,Ryanair Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,44.75,,14.61
2024-06-30,46.15,$3.06,15.06
2024-03-31,57.7,$3.65,15.82
2023-12-31,52.45,$4.54,11.56
2023-09-30,38.24,$4.51,8.48
2023-06-30,43.5,$1.98,22.02
2022-12-31,29.41,$0.52,56.12
2022-09-30,22.98,$-0.03,0.0
2022-06-30,26.45,$0.43,61.23
2022-03-31,34.27,$-0.50,0.0
2021-12-31,40.25,$-0.92,0.0
2021-09-30,43.29,$-1.41,0.0
2021-06-30,42.56,$-2.35,0.0
2021-03-31,45.23,$-2.14,0.0
2020-12-31,43.26,$-2.68,0.0
2020-09-30,32.16,$-1.83,0.0
2020-06-30,26.09,$0.45,57.73
2020-03-31,20.88,$1.30,16.01
2019-12-31,34.46,$2.06,16.7
2019-09-30,26.11,$1.76,14.83
2019-06-30,25.23,$1.65,15.27
2019-03-31,29.48,$1.80,16.38
2018-12-31,28.06,$2.31,12.14
2018-09-30,37.78,$2.65,14.24
2018-06-30,44.93,$2.69,16.69
2018-03-31,48.32,$2.78,17.41
2017-12-31,40.98,$2.76,14.85
2017-09-30,41.46,$2.72,15.27
2017-06-30,42.33,$2.59,16.33
2017-03-31,32.64,$2.32,14.07
2016-12-31,32.75,$2.32,14.14
2016-09-30,29.51,$2.32,12.72
2016-06-30,27.35,$1.10,24.78
2016-03-31,33.76,$1.07,31.54
2015-12-31,34.01,$1.02,33.36
2015-09-30,30.96,$0.93,33.17
2015-06-30,28.21,$1.65,17.15
2015-03-31,26.4,$1.63,16.21
2014-12-31,27.26,$1.50,18.15
2014-09-30,21.58,$1.35,15.99
2014-06-30,21.34,$1.26,17.0
2014-03-31,22.49,$1.01,22.28
2013-12-31,17.95,$1.01,17.86
2013-09-30,19.02,$1.11,17.17
2013-06-30,19.71,$0.98,20.18
2013-03-31,15.98,$1.01,15.77
2012-12-31,13.11,$1.10,11.92
2012-09-30,11.56,$1.10,10.56
2012-06-30,10.9,$0.98,11.07
2012-03-31,13.01,$1.08,12.06
2011-12-31,9.99,$1.01,9.94
2011-09-30,9.23,$0.96,9.66
2011-06-30,10.52,$0.78,13.49
2011-03-31,9.97,$0.67,14.9
2010-12-31,11.03,$0.64,17.23
2010-09-30,11.05,$0.64,17.26
2010-06-30,8.54,$0.54,15.89
2010-03-31,8.57,$0.37,22.95
2009-12-31,8.45,$0.47,17.91
