Euronet Worldwide PE Ratio Historical Data,Euronet Worldwide PE Ratio Historical Data,Euronet Worldwide PE Ratio Historical Data,Euronet Worldwide PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,99.07,,17.2
2024-06-30,103.5,$5.76,17.97
2024-03-31,109.93,$5.68,19.35
2023-12-31,101.49,$5.52,18.39
2023-09-30,79.38,$5.40,14.7
2023-06-30,117.37,$5.22,22.48
2023-03-31,111.9,$4.65,24.06
2022-12-31,94.38,$4.43,21.3
2022-09-30,75.76,$3.06,24.76
2022-06-30,100.59,$2.56,39.29
2022-03-31,130.15,$1.64,79.36
2021-12-31,119.17,$1.31,90.97
2021-09-30,127.28,$2.68,47.49
2021-06-30,135.35,$2.07,65.39
2021-03-31,138.3,$-0.27,0.0
2020-12-31,144.92,$-0.07,0.0
2020-09-30,91.1,$0.53,171.89
2020-06-30,95.82,$2.23,42.97
2020-03-31,85.72,$5.66,15.14
2019-12-31,157.56,$6.24,25.25
2019-09-30,146.3,$5.43,26.94
2019-06-30,168.24,$4.86,34.62
2019-03-31,142.59,$4.43,32.19
2018-12-31,102.38,$4.30,23.81
2018-09-30,100.22,$2.77,36.18
2018-06-30,83.77,$2.68,31.26
2018-03-31,78.92,$2.79,28.29
2017-12-31,84.27,$2.81,29.99
2017-09-30,94.79,$3.78,25.08
2017-06-30,87.37,$3.09,28.28
2017-03-31,85.52,$3.20,26.73
2016-12-31,72.43,$3.22,22.49
2016-09-30,81.83,$3.29,24.87
2016-06-30,69.19,$2.75,25.16
2016-03-31,74.11,$2.21,33.53
2015-12-31,72.43,$1.81,40.02
2015-09-30,74.09,$1.75,42.34
2015-06-30,61.7,$1.82,33.9
2015-03-31,58.75,$1.70,34.56
2014-12-31,54.9,$1.87,29.36
2014-09-30,47.79,$1.51,31.65
2014-06-30,48.24,$1.79,26.95
2014-03-31,41.59,$1.76,23.63
2013-12-31,47.85,$1.70,28.15
2013-09-30,39.88,$1.25,31.9
2013-06-30,31.86,$0.61,52.23
2013-03-31,26.34,$0.37,71.19
2012-12-31,23.6,$0.39,60.51
2012-09-30,18.79,$0.86,21.85
2012-06-30,17.07,$0.52,32.83
2012-03-31,20.89,$0.64,32.64
2011-12-31,18.48,$0.71,26.03
2011-09-30,15.74,$-0.69,0.0
2011-06-30,15.41,$-0.22,0.0
2011-03-31,19.33,$-0.48,0.0
2010-12-31,17.44,$-0.76,0.0
2010-09-30,17.99,$0.58,31.02
2010-06-30,12.79,$0.52,24.6
2010-03-31,18.43,$0.85,21.68
2009-12-31,21.95,$0.56,39.2
