Axsome Therapeutics PE Ratio Historical Data,Axsome Therapeutics PE Ratio Historical Data,Axsome Therapeutics PE Ratio Historical Data,Axsome Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,93.35,,0.0
2024-06-30,80.5,$-6.51,0.0
2024-03-31,79.8,$-6.38,0.0
2023-12-31,79.59,$-5.20,0.0
2023-09-30,69.89,$-4.53,0.0
2023-06-30,71.86,$-4.28,0.0
2023-03-31,61.68,$-3.80,0.0
2022-12-31,77.13,$-4.57,0.0
2022-09-30,44.62,$-4.06,0.0
2022-06-30,38.3,$-3.92,0.0
2022-03-31,41.39,$-3.72,0.0
2021-12-31,37.78,$-3.47,0.0
2021-09-30,32.96,$-3.35,0.0
2021-06-30,67.46,$-3.03,0.0
2021-03-31,56.62,$-2.66,0.0
2020-12-31,81.47,$-2.76,0.0
2020-09-30,71.25,$-2.69,0.0
2020-06-30,82.28,$-2.64,0.0
2020-03-31,58.83,$-2.56,0.0
2019-12-31,103.36,$-2.00,0.0
2019-09-30,20.24,$-1.61,0.0
2019-06-30,25.75,$-1.36,0.0
2019-03-31,14.23,$-1.27,0.0
2018-12-31,2.82,$-1.14,0.0
2018-09-30,3.45,$-1.13,0.0
2018-06-30,3.2,$-1.09,0.0
2018-03-31,2.45,$-1.07,0.0
2017-12-31,5.6,$-1.29,0.0
2017-09-30,5.55,$-1.36,0.0
2017-06-30,5.5,$-1.47,0.0
2017-03-31,3.9,$-1.53,0.0
2016-12-31,6.75,$-1.43,0.0
2016-09-30,7.88,$-1.17,0.0
