Brookfield Business Partners PE Ratio Historical Data,Brookfield Business Partners PE Ratio Historical Data,Brookfield Business Partners PE Ratio Historical Data,Brookfield Business Partners PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,23.98,,3.68
2024-06-30,18.79,$6.51,2.89
2024-03-31,22.03,$6.38,3.45
2023-12-31,20.46,$6.49,3.15
2023-09-30,15.05,$-0.04,0.0
2023-06-30,16.99,$0.02,849.57
2023-03-31,18.3,$0.89,20.56
2022-12-31,16.61,$0.73,22.75
2022-09-30,18.99,$0.44,43.17
2022-06-30,20.62,$1.17,17.63
2022-03-31,29.82,$-0.11,0.0
2021-12-31,29.05,$3.28,8.86
2021-09-30,28.91,$4.09,7.07
2021-06-30,29.09,$3.38,8.61
2021-03-31,25.24,$3.28,7.69
2020-12-31,23.54,$-1.13,0.0
2020-09-30,18.87,$-2.39,0.0
2020-06-30,19.28,$-2.11,0.0
2020-03-31,15.85,$-0.56,0.0
2019-12-31,25.68,$0.76,33.8
2019-09-30,24.41,$2.50,9.76
2019-06-30,23.76,$2.34,10.15
2019-03-31,24.49,$2.12,11.55
2018-12-31,18.78,$2.21,8.5
2018-09-30,28.29,$-0.08,0.0
2018-06-30,23.61,$-0.23,0.0
2018-03-31,22.19,$-0.89,0.0
2017-12-31,21.23,$-0.85,0.0
2017-09-30,18.2,$0.40,45.5
2017-06-30,16.57,$0.77,21.52
2017-03-31,15.06,$0.80,18.82
