Pan American Silver PE Ratio Historical Data,Pan American Silver PE Ratio Historical Data,Pan American Silver PE Ratio Historical Data,Pan American Silver PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,22.08,,0.0
2024-06-30,19.79,$-0.39,0.0
2024-03-31,14.94,$-0.46,0.0
2023-12-31,16.06,$-0.30,0.0
2023-09-30,14.14,$-0.93,0.0
2023-06-30,14.24,$-1.21,0.0
2023-03-31,17.68,$-1.91,0.0
2022-12-31,15.77,$-1.63,0.0
2022-09-30,15.23,$-0.75,0.0
2022-06-30,18.73,$-0.31,0.0
2022-03-31,25.86,$0.86,30.07
2021-12-31,23.55,$0.46,51.2
2021-09-30,21.87,$1.20,18.22
2021-06-30,26.73,$1.41,18.96
2021-03-31,28.04,$1.17,23.97
2020-12-31,32.16,$0.84,38.28
2020-09-30,29.89,$0.29,103.08
2020-06-30,28.22,$0.16,176.35
2020-03-31,13.28,$0.15,88.52
2019-12-31,21.9,$0.71,30.84
2019-09-30,14.47,$0.04,361.63
2019-06-30,11.89,$-0.20,0.0
2019-03-31,12.16,$-0.05,0.0
2018-12-31,13.37,$0.07,190.94
2018-09-30,13.48,$0.81,16.64
2018-06-30,16.31,$0.98,16.64
2018-03-31,14.68,$0.97,15.14
2017-12-31,14.12,$0.79,17.87
2017-09-30,15.44,$0.61,25.31
2017-06-30,15.21,$0.78,19.5
2017-03-31,15.82,$0.77,20.55
2016-12-31,13.59,$0.65,20.91
2016-09-30,15.88,$-0.37,0.0
2016-06-30,14.82,$-1.09,0.0
2016-03-31,9.78,$-1.36,0.0
2015-12-31,5.84,$-1.50,0.0
2015-09-30,5.67,$-4.10,0.0
2015-06-30,7.61,$-3.81,0.0
2015-03-31,7.73,$-3.80,0.0
2014-12-31,8.01,$-3.62,0.0
2014-09-30,9.44,$-2.08,0.0
2014-06-30,13.09,$-1.84,0.0
2014-03-31,10.87,$-3.03,0.0
2013-12-31,9.8,$-2.95,0.0
2013-09-30,8.73,$-1.25,0.0
2013-06-30,9.54,$-1.19,0.0
2013-03-31,13.29,$0.27,49.23
2012-12-31,15.08,$0.61,24.73
2012-09-30,17.22,$1.75,9.84
2012-06-30,13.52,$2.08,6.5
2012-03-31,17.63,$2.89,6.1
2011-12-31,17.4,$3.28,5.31
2011-09-30,21.34,$2.81,7.59
2011-06-30,24.6,$2.60,9.46
2011-03-31,29.55,$1.73,17.08
2010-12-31,32.77,$1.05,31.21
2010-09-30,23.52,$0.93,25.29
2010-06-30,20.07,$0.86,23.34
2010-03-31,18.38,$0.81,22.69
2009-12-31,18.88,$0.71,26.59
