Texas Pacific Land PE Ratio Historical Data,Texas Pacific Land PE Ratio Historical Data,Texas Pacific Land PE Ratio Historical Data,Texas Pacific Land PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,1066.02,,54.84
2024-06-30,734.27,$19.44,37.77
2024-03-31,578.51,$18.81,30.76
2023-12-31,1572.45,$17.59,89.41
2023-09-30,1823.56,$16.99,107.33
2023-06-30,1316.5,$18.02,73.07
2023-03-31,1701.02,$18.79,90.53
2022-12-31,2344.23,$19.26,121.74
2022-09-30,1777.23,$18.35,96.87
2022-06-30,1485.59,$16.35,90.88
2022-03-31,1332.35,$13.68,97.42
2021-12-31,1227.76,$11.61,105.72
2021-09-30,1186.45,$10.13,117.08
2021-06-30,1565.91,$8.52,183.87
2021-03-31,1552.98,$8.53,182.06
2020-12-31,708.7,$9.45,75.02
2020-09-30,433.93,$10.10,42.95
2020-03-31,365.18,$10.24,35.65
2019-12-31,731.9,$13.79,53.07
2019-09-30,608.56,$13.41,45.38
2019-06-30,737.31,$12.02,61.36
2019-03-31,724.81,$12.06,60.1
2018-12-31,503.23,$8.29,60.7
2020-06-30,571.48,$7.47,76.5
2018-09-30,801.41,$7.07,113.41
2018-06-30,646.05,$6.01,107.44
2018-03-31,469.59,$4.48,104.9
2017-12-31,411.78,$3.24,127.22
2017-09-30,372.57,$2.91,128.03
2017-06-30,270.86,$2.16,125.2
2017-03-31,257.92,$1.88,137.43
2016-12-31,272.38,$1.55,175.73
2016-09-30,219.66,$1.46,150.45
2016-06-30,154.79,$1.55,99.65
2016-03-31,133.55,$1.43,93.17
2015-12-31,119.91,$2.02,59.26
2015-09-30,128.46,$1.99,64.66
2015-06-30,137.83,$1.89,72.93
2015-03-31,132.67,$1.98,67.01
2014-12-31,107.86,$1.38,78.35
2014-09-30,175.91,$1.34,131.27
2014-06-30,146.36,$1.34,109.49
2014-03-31,118.38,$1.18,100.03
2013-12-31,91.22,$1.05,86.6
2013-09-30,77.12,$0.92,84.11
2013-06-30,76.99,$0.71,108.42
2013-03-31,64.3,$0.69,93.17
2012-12-31,48.51,$0.77,62.99
2012-09-30,49.63,$0.80,62.02
2012-03-31,42.61,$0.83,51.13
2011-12-31,36.59,$0.73,49.89
2011-09-30,32.68,$0.60,54.77
2011-06-30,40.66,$0.61,67.01
2011-03-31,40.16,$0.49,81.95
2010-12-31,32.45,$0.50,64.46
2012-06-30,51.6,$0.49,106.01
2010-09-30,35.61,$0.35,101.73
2010-06-30,23.4,$0.34,69.53
2010-03-31,24.91,$0.29,86.9
2009-12-31,26.54,$0.23,117.13
