Check Point Software Technologies PE Ratio Historical Data,Check Point Software Technologies PE Ratio Historical Data,Check Point Software Technologies PE Ratio Historical Data,Check Point Software Technologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,207.44,,28.65
2024-06-30,165.0,$7.24,22.79
2024-03-31,164.01,$7.20,22.78
2023-12-31,152.79,$7.12,21.46
2023-09-30,133.28,$7.17,18.59
2023-06-30,125.62,$6.89,18.23
2023-03-31,130.0,$6.55,19.85
2022-12-31,126.16,$6.33,19.93
2022-09-30,112.02,$6.11,18.33
2022-06-30,121.78,$6.04,20.16
2022-03-31,138.26,$6.06,22.82
2021-12-31,116.56,$6.09,19.14
2021-09-30,113.04,$6.06,18.65
2021-06-30,116.13,$6.08,19.1
2021-03-31,111.97,$6.08,18.42
2020-12-31,132.91,$5.98,22.23
2020-09-30,120.34,$5.87,20.5
2020-06-30,107.43,$5.70,18.85
2020-03-31,100.54,$5.53,18.18
2019-12-31,110.96,$5.45,20.36
2019-09-30,109.5,$5.12,21.39
2019-06-30,115.61,$5.12,22.58
2019-03-31,126.49,$5.15,24.56
2018-12-31,102.65,$5.16,19.89
2018-09-30,117.67,$5.11,23.03
2018-06-30,97.68,$4.98,19.61
2018-03-31,99.34,$4.82,20.61
2017-12-31,103.62,$4.97,20.85
2017-06-30,109.08,$4.50,24.24
2017-03-31,102.66,$4.33,23.71
2016-12-31,84.46,$4.20,20.11
2016-09-30,77.61,$3.97,19.55
2016-06-30,79.68,$3.90,20.43
2016-03-31,87.47,$3.83,22.84
2015-12-31,81.38,$3.74,21.76
2015-09-30,79.33,$3.64,21.79
2015-06-30,79.55,$3.56,22.35
2015-03-31,81.97,$3.51,23.35
2014-12-31,78.57,$3.43,22.91
2014-09-30,69.24,$3.44,20.13
2014-06-30,67.03,$3.40,19.71
2014-03-31,67.63,$3.33,20.31
2013-12-31,64.5,$3.28,19.66
2013-09-30,56.56,$3.14,18.01
2013-06-30,49.68,$3.07,16.18
2013-03-31,46.99,$3.02,15.56
2012-12-31,47.64,$2.97,16.04
2012-09-30,48.16,$2.87,16.78
2012-06-30,49.59,$2.77,17.9
2012-03-31,63.84,$2.66,24.0
2011-12-31,52.54,$2.55,20.6
2011-09-30,52.76,$2.44,21.62
2011-06-30,56.85,$2.35,24.19
2011-03-31,51.05,$2.23,22.89
2010-12-31,46.26,$2.12,21.82
2010-09-30,36.93,$1.99,18.56
2010-06-30,29.48,$2.61,11.3
2010-03-31,35.07,$2.56,13.7
2009-12-31,33.88,$2.46,13.77
2017-09-30,114.02,$2.33,48.94
