TKOs PE Ratio Historical Data,TKOs PE Ratio Historical Data,TKOs PE Ratio Historical Data,TKOs PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,128.03,,0.0
2024-06-30,107.99,$-0.96,0.0
2024-03-31,86.41,$-1.01,0.0
2023-12-31,81.58,$0.68,119.97
2023-09-30,84.06,$1.29,65.16
2023-06-30,108.34,$2.04,53.11
2023-03-31,91.04,$1.95,46.69
2022-12-31,68.26,$2.29,29.81
2022-09-30,69.79,$2.60,26.84
2022-06-30,62.04,$2.63,23.59
2022-03-31,61.88,$2.39,25.89
2021-12-31,48.79,$2.13,22.91
2021-09-30,55.49,$1.53,36.27
2021-06-30,56.97,$1.58,36.06
2021-03-31,53.3,$1.76,30.28
2020-12-31,47.1,$1.56,30.19
2020-09-30,39.56,$2.18,18.15
2020-06-30,42.35,$1.67,25.36
2020-03-31,32.99,$1.26,26.18
2019-12-31,62.83,$1.41,44.56
2019-09-30,68.78,$1.00,68.78
2019-06-30,69.69,$1.05,66.37
2018-12-31,71.9,$1.12,64.2
2018-09-30,92.93,$0.72,129.07
2018-06-30,69.86,$0.24,291.1
2018-03-31,34.48,$0.41,84.1
2017-12-31,29.19,$0.29,100.65
2019-03-31,83.62,$0.24,348.41
2017-09-30,22.39,$0.45,49.77
2017-06-30,19.27,$0.31,62.15
2017-03-31,20.9,$0.26,80.37
2016-12-31,17.2,$0.43,40.0
2016-09-30,19.79,$0.31,63.83
2016-06-30,17.0,$0.31,54.83
2016-03-31,16.19,$0.37,43.77
2015-12-31,16.25,$0.32,50.78
2015-09-30,15.28,$0.32,47.74
2015-06-30,14.83,$0.10,148.26
2015-03-31,12.49,$-0.16,0.0
2014-12-31,10.92,$-0.40,0.0
2014-09-30,12.19,$-0.48,0.0
2014-06-30,10.56,$-0.37,0.0
2014-03-31,25.56,$-0.11,0.0
2013-12-31,14.67,$0.04,366.87
2013-09-30,8.93,$0.15,59.51
2013-06-30,8.94,$0.17,52.61
2013-03-31,7.56,$0.26,29.07
2012-12-31,6.67,$0.10,66.66
2012-09-30,6.7,$0.23,29.14
2012-06-30,6.42,$0.37,17.36
2011-12-31,7.44,$0.32,23.24
2011-09-30,7.02,$0.55,12.77
2011-06-30,7.41,$0.61,12.15
2011-03-31,9.65,$0.61,15.82
2010-12-31,10.63,$0.58,18.33
2012-03-31,7.17,$0.80,8.96
2010-09-30,10.13,$0.75,13.51
2010-06-30,11.05,$0.68,16.25
2010-03-31,12.02,$0.87,13.82
2009-12-31,10.44,$0.68,15.35
