Kite Realty Group Trust PE Ratio Historical Data,Kite Realty Group Trust PE Ratio Historical Data,Kite Realty Group Trust PE Ratio Historical Data,Kite Realty Group Trust PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,25.9,,0.0
2024-06-30,21.9,$-0.11,0.0
2024-03-31,20.96,$0.26,80.63
2023-12-31,21.86,$0.22,99.36
2023-09-30,20.24,$0.17,119.07
2023-06-30,20.89,$0.12,174.07
2023-03-31,19.33,$0.03,644.37
2022-12-31,19.23,$-0.07,0.0
2022-09-30,15.54,$-0.58,0.0
2022-06-30,15.42,$-0.62,0.0
2022-03-31,20.12,$-0.68,0.0
2021-12-31,19.08,$-0.68,0.0
2021-09-30,17.84,$-0.21,0.0
2021-06-30,18.95,$-0.19,0.0
2020-12-31,12.64,$-0.19,0.0
2020-09-30,9.72,$0.07,138.87
2020-06-30,9.64,$0.41,23.52
2020-03-31,7.91,$0.23,34.41
2019-12-31,15.83,$0.21,75.39
2021-03-31,16.46,$0.10,164.64
2019-09-30,12.87,$-0.56,0.0
2019-06-30,11.82,$-0.27,0.0
2019-03-31,12.25,$-0.27,0.0
2018-12-31,10.34,$-0.55,0.0
2018-09-30,11.98,$-0.15,0.0
2018-06-30,12.06,$-0.21,0.0
2018-03-31,10.54,$-0.07,0.0
2017-12-31,13.34,$0.14,95.27
2017-09-30,13.58,$0.15,90.52
2017-06-30,12.5,$0.14,89.26
2017-03-31,13.99,0,0.0
2016-12-31,15.09,$0.02,754.46
2016-09-30,17.62,$0.04,440.61
2016-06-30,17.64,$0.06,294.01
2016-03-31,17.26,$0.14,123.29
2015-12-31,15.98,$0.18,88.76
2015-09-30,14.5,$0.18,80.58
2015-06-30,14.74,$-0.02,0.0
2015-03-31,16.81,$-0.24,0.0
2014-12-31,17.0,$-0.22,0.0
2014-09-30,14.18,$-0.32,0.0
2014-06-30,14.37,$-0.16,0.0
2014-03-31,13.74,$-0.40,0.0
2013-12-31,14.91,$-0.48,0.0
2013-09-30,13.32,$-0.80,0.0
2013-06-30,13.41,$-0.96,0.0
2013-03-31,14.86,$-0.72,0.0
2012-12-31,12.19,$-0.72,0.0
2012-09-30,10.99,$-0.16,0.0
2012-06-30,10.63,0,0.0
2012-03-31,11.1,$0.08,138.73
2011-12-31,9.38,$0.20,46.88
2011-09-30,7.49,$-0.08,0.0
2011-06-30,10.07,$-0.20,0.0
2011-03-31,10.62,$-0.36,0.0
2010-12-31,10.7,$-0.56,0.0
2010-09-30,8.67,$-0.44,0.0
2010-06-30,8.04,$-0.48,0.0
2010-03-31,8.99,$-0.20,0.0
2009-12-31,7.62,$-0.04,0.0
