Banco Santander Chile PE Ratio Historical Data,Banco Santander Chile PE Ratio Historical Data,Banco Santander Chile PE Ratio Historical Data,Banco Santander Chile PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,20.25,,15.34
2024-06-30,18.83,$1.32,14.27
2024-03-31,19.03,$1.17,16.26
2023-12-31,18.7,$1.27,14.72
2023-09-30,17.6,$1.09,16.14
2023-06-30,18.09,$1.36,13.3
2023-03-31,15.95,$1.68,9.49
2022-12-31,14.17,$1.96,7.23
2022-09-30,12.53,$2.17,5.78
2022-06-30,14.57,$2.30,6.34
2022-03-31,19.15,$2.19,8.74
2021-09-30,16.76,$1.83,9.16
2021-03-31,20.25,$1.59,12.74
2020-12-31,15.49,$1.41,10.98
2020-09-30,11.02,$1.19,9.26
2020-06-30,13.03,$1.31,9.95
2020-03-31,11.68,$1.63,7.16
2019-12-31,17.8,$1.66,10.73
2019-09-30,21.61,$1.81,11.94
2019-06-30,23.09,$1.91,12.09
2019-03-31,22.13,$1.87,11.83
2018-12-31,22.24,$2.01,11.06
2018-09-30,23.79,$1.99,11.95
2018-06-30,23.38,$1.95,11.99
2018-03-31,23.89,$1.93,12.38
2017-12-31,22.29,$1.86,11.99
2017-09-30,21.18,$1.75,12.1
2017-06-30,18.12,$1.68,10.78
2017-03-31,17.13,$1.57,10.91
2016-12-31,14.93,$1.50,9.96
2016-09-30,14.13,$1.40,10.09
2016-06-30,13.23,$1.40,9.45
2016-03-31,12.53,$1.50,8.35
2015-12-31,11.42,$1.43,7.98
2015-09-30,11.79,$1.66,7.1
2015-06-30,13.11,$1.66,7.9
2015-03-31,13.32,$1.81,7.36
2014-12-31,12.11,$2.04,5.94
2014-09-30,13.57,$2.27,5.98
2014-06-30,16.25,$2.31,7.03
2014-03-31,13.81,$2.05,6.74
2013-12-31,13.89,$1.86,7.47
2013-09-30,15.49,$1.65,9.39
2013-06-30,14.41,$1.45,9.94
2013-03-31,16.13,$1.53,10.55
2012-12-31,16.14,$1.69,9.56
2012-09-30,15.97,$1.60,9.96
2012-06-30,16.9,$1.68,10.05
2012-03-31,18.12,$1.88,9.62
2011-12-31,15.93,$1.88,8.48
2011-09-30,15.46,$1.89,8.18
2011-06-30,19.74,$2.13,9.27
2011-03-31,17.59,$2.03,8.65
2010-12-31,18.96,$2.00,9.49
2010-09-30,19.58,$2.14,9.13
2010-06-30,13.61,$2.02,6.72
2010-03-31,13.3,$1.91,6.95
2009-12-31,12.63,$1.71,7.37
