Oscar Health PE Ratio Historical Data,Oscar Health PE Ratio Historical Data,Oscar Health PE Ratio Historical Data,Oscar Health PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,16.8,,0.0
2024-06-30,15.82,$-0.13,0.0
2024-03-31,14.87,$-0.40,0.0
2023-12-31,9.15,$-1.20,0.0
2023-09-30,5.57,$-1.59,0.0
2023-06-30,8.06,$-2.21,0.0
2023-03-31,6.54,$-2.67,0.0
2022-12-31,2.46,$-2.85,0.0
2022-09-30,4.99,$-2.75,0.0
2022-06-30,4.25,$-2.86,0.0
2022-03-31,9.97,$-2.68,0.0
2021-12-31,7.85,$-3.30,0.0
